;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;Всего, человек;Из них (из графы 3) имеют образование: Высшее;Из них (из графы 3) имеют образование: из них (графы 4) педагогическое;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень кандидата наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание профессора;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание доцента;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки специалистов среднего звена;Из них (из графы 3) имеют образование: из них  (графы 10) педагогическое;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки квалифициро-ванных рабочих служащих;Из графы 3 имеют квалификационные категории высшую;Из графы 3 имеют квалификационные категории первую;Из графы 3 имеют квалификационные категории педагог-методист;Из графы 3 имеют квалификационные категории педагог-наставник;Из графы 3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 43, 44);2555;1543;1313;;5;;;276;70;164;247;177;1;2;2112;
2;в том числе:       руководящие работники – всего;167;159;141;;2;;;5;3;;24;24;;;153;
3;из них:             директор;50;48;45;;1;;;1;1;;8;8;;;45;
4;заместители директора;102;98;88;;;;;2;1;;16;16;;;96;
5;руководитель филиала;10;7;4;;;;;;;;;;;;8;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);1319;1205;1160;;3;;;93;65;2;222;152;;2;1115;1275.7
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);1044;981;961;;3;;;54;42;1;201;138;;2;862;988.9
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;312;289;289;;;;;21;18;;52;51;;;305;329.8
9;русского языка и литературы;124;121;121;;1;;;1;1;;31;16;;1;118;
10;языка народов России и литературы;;;;;;;;;;;;;;;;
11;истории, экономики, права, обществознания;61;59;56;;;;;;;;10;7;;;36;
12;информатики;25;24;22;;;;;1;1;;7;5;;;19;
13;физики;36;35;34;;1;;;1;;;5;6;;;24;
14;математики;98;97;96;;;;;1;1;;31;13;;;87;
15;химии;25;25;25;;1;;;;;;7;3;;;22;
16;географии;33;31;30;;;;;2;2;;7;4;;;27;
17;биологии;22;22;21;;;;;;;;3;3;;;20;
18;иностранных языков;114;113;111;;;;;;;;17;16;;1;102;
19;из них:                         английского языка;114;113;111;;;;;;;;16;15;;1;102;
20;немецкого языка;;;;;;;;;;;;;;;;
21;французского языка;;;;;;;;;;;;;;;;
22;китайского языка;;;;;;;;;;;;;;;;
23;физической культуры;77;69;68;;;;;7;7;;8;3;;;25;
24;труда (технологии);53;38;35;;;;;14;9;1;10;4;;;29;
25;музыки и пения;13;12;9;;;;;1;1;;3;1;;;12;
26;изобразительного искусства, черчения;8;5;5;;;;;3;1;;2;;;;8;
27;основ безопасности и защиты Родины;7;7;6;;;;;;;;2;2;;;1;
28;основ духовно-нравственной культуры народов России;;;;;;;;;;;;;;;;
29;прочих предметов;36;34;33;;;;;2;1;;6;4;;;27;
30;учителя-логопеды;38;38;37;;;;;;;;4;5;;;37;32.7
31;учителя-дефектологи;5;5;5;;;;;;;;2;;;;5;5
32;из них:                   олигофренопедагог;;;;;;;;;;;;;;;;
33;тифлопедагог;;;;;;;;;;;;;;;;
34;сурдопедагог;;;;;;;;;;;;;;;;
