;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);187;101;146.5
2;в том числе:       руководящие работники – всего;1;1;0.5
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);58;38;46.9
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);44;32;31.5
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;4;4;4.2
6;русского языка и литературы;5;5;3.6
7;языка народов России и литературы;1;1;0.5
8;истории, экономики, права, обществознания;3;1;2.5
9;информатики;2;1;1
10;физики;1;;0.5
11;математики;2;1;1
12;химии;1;1;0.2
13;географии;1;;0.5
14;биологии;2;2;2.5
15;иностранных языков;2;2;1.5
16;из них:                      английского языка;2;2;0.5
17;немецкого языка;;;
18;французского языка;;;
19;китайского языка;;;
20;физической культуры;5;4;5.8
21;труда (технологии);4;1;4.1
22;музыки и пения;7;7;5.7
23;изобразительного искусства, черчения;;;
24;основ безопасности и защиты Родины;2;;1.5
25;основ духовно-нравственной культуры народов России;;;
26;прочих предметов;2;2;2
27;учителя-логопеды;2;2;2
28;учителя-дефектологи;;;
29;из них:                олигофренопедагог;;;
30;тифлопедагог;;;
31;сурдопедагог;;;
32;социальные педагоги;;;
33;педагоги дополнительного образования;5;3;2
34;педагоги-психологи;1;1;0.5
35;воспитатели;;;
36;мастера производственного обучения;;;
37;тьюторы;;;
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;1;;0.5
39;другие;5;;2.8
40;учебно-вспомогательный персонал;36;18;27.5
41;иной персонал;92;44;70.9
42;из них:             ассистент(помощник);;;
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;;;
46;из них воспитатели;;;
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;;;
48;из них учителя;;;
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);9;;
53;из них женщин;7;;
54;в том числе:          врачи всех специальностей;3;;
55;медицинские сестры;6;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;19;;
