;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13
№ строки;Наименование показателей;Число ставок   по штату, единиц;Фактически занято, единиц всего;Фактически занято, единиц работниками списочного состава;Численность работников на начало предыдущего учебного года (без внешних совместителей и работавших по договорам гражданско-правового характера), человек;Принято работников, человек всего;Принято работников, человек из них выпускники: со средним про-фессиональным образованием по программам подготовки специалистов среднего звена;Принято работников, человек из них выпускники: с высшим образованием;Выбыло работников, человек всего;Выбыло работников, человек из них по собственному желанию;Численность работников на начало отчет- ного учебного года (без совместителей и работающих по договорам гражданско-правового характера), человек;Число вакантных должностей, единиц
1;Численность работников – всего (сумма строк 02, 06, 43,44);4149.22;3925.07;3795.97;2584;422;81;188;451;420;2555;180
2;в том числе:       руководящие работники – всего;206;191.8;189.8;171;18;;14;24;24;167;15
3;из них:             директор;54;50.5;50.5;51;7;;6;11;11;50;4
4;заместители директора;134;125.3;122.8;100;9;;6;11;11;102;9
5;руководитель филиала;11;10;10;10;1;;1;2;2;10;
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);2250.29;2143.21;2087.32;1306;207;14;156;194;181;1319;86
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);1673.35;1641.19;1601.19;1036;158;12;121;146;134;1044;27
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;409.95;405.85;399.09;308;44;8;29;36;31;312;4
9;русского языка и литературы;191.4;190.07;185.67;115;22;;19;11;10;124;4
10;языка народов России и литературы;0.97;0.97;0.97;;1;;1;1;1;;
11;истории, экономики, права, обществознания;98.88;98.35;96.34;56;8;;7;5;4;61;1
12;информатики;42.69;42.48;40.94;25;4;;4;4;4;25;
13;физики;49.25;48.31;47.18;34;4;;4;2;2;36;2
14;математики;162.7;160.55;159.19;101;19;;17;18;18;98;4
15;химии;38.81;35.07;34.37;27;1;;1;1;1;25;
16;географии;45.32;45;44.4;34;3;;2;3;2;33;
17;биологии;41.61;41.51;41.12;21;3;;1;4;3;22;1
18;иностранных языков;171.35;168.37;166.13;123;16;;12;24;22;114;3
19;из них:                         английского языка;165.97;162.54;155.52;123;16;;12;24;22;114;3
20;немецкого языка;;;;;;;;;;;
21;французского языка;;;;;;;;;;;
22;китайского языка;;;;;;;;;;;
23;физической культуры;109.43;107.73;102.72;83;15;3;9;18;18;77;1
24;труда (технологии);77.53;76.15;70.75;52;6;1;5;5;5;53;2
25;музыки и пения;33.58;30.62;27.4;12;2;;2;2;1;13;2
26;изобразительного искусства, черчения;14.6;14.6;14;8;1;;;2;2;8;1
27;основ безопасности и защиты Родины;18.64;17.14;16.17;10;;;;4;4;7;1
28;основ духовно-нравственной культуры народов России;3.3;3.3;3.3;;;;;;;;
29;прочих предметов;163.34;155.12;151.45;27;9;;8;6;6;36;1
30;учителя-логопеды;66.79;58.23;57.95;38;4;;4;4;4;38;6
31;учителя-дефектологи;10.5;9;9;6;;;;;;5;
32;из них:                      олигофренопедагог;;;;;;;;;;;
33;тифлопедагог;;;;;;;;;;;
34;сурдопедагог;;;;;;;;;;;
35;социальные педагоги;35.25;29.25;29.25;17;5;;5;3;3;18;5
36;педагоги дополнительного образования;78.2;64.52;60.28;26;5;1;4;6;6;27;14
37;педагоги-психологи;62.77;52.73;51.73;44;7;;7;7;7;44;11
38;воспитатели;144.84;133.66;130.16;71;8;;6;17;16;69;9
39;мастера производственного обучения;;;;1;;;;;;;
40;тьюторы;8.25;5.25;5.25;1;1;;1;;;3;4
41;советники директора по воспитанию и взаимодействию                с детскими общественными объединениям;13;12.5;12;5;6;;5;1;1;11;
42;другие;157.34;136.88;130.51;61;13;1;3;10;10;60;10
43;учебно-вспомогательный персонал;231.72;212.6;200.9;144;22;8;4;18;17;143;14
44;иной персонал;1461.21;1377.46;1317.95;963;175;59;14;215;198;926;65
45;из них:             ассистент (помощник);1;1;1;;1;;1;;;1;
46;сурдопереводчик;;;;;;;;;;;
47;тифлосурдопереводчик;;;;7;;;;;;;
48;Из общей численности педагогических работников (стр.06):             персонал, работающий в подразделениях (группах)             дошкольного образования;78.82;78.82;77.32;71;4;;1;11;11;63;1
49;из них воспитатели;58.32;57.92;56.42;55;3;;1;11;11;42;1
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;33.47;31.47;28.36;18;4;;4;5;5;23;5
51;из них учителя;28.47;28.47;25.36;15;4;;4;5;5;20;3
;;;;;;;;;;;;
;;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам
