;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателя;Всего (сумма граф 04 - 16);Программы начального общего образования 1-й класс;Программы начального общего образования 2-й класс;Программы начального общего образования 3-й класс;Программы начального общего образования 4-й класс;Программы основного общего образования 5-й класс;Программы основного общего образования 6-й класс;Программы основного общего образования 7-й класс;Программы основного общего образования 8-й класс;Программы основного общего образования 9-й класс;Программы среднего общего образования 10-й класс;Программы среднего общего образования 11-й класс (выпускной);Программы среднего общего образования 11-й класс;Программы среднего общего образования 12-й класс
1;Число классов без углубленного изучения предметов, ед.;29331;3576;3406;3759;3794;3485;3515;2432;2408;2314;300;342;;
2;В них обучающихся, чел.;810995;100611;97377;105855;106453;96118;96506;65292;64923;61840;7620;8400;;
3;Число классов с углубленным изучением отдельных предметов, ед.;11781;56;326;361;346;619;696;1707;1831;1725;2020;2094;;
4;В них обучающихся, чел.;317623;1536;9289;10051;9608;17137;19068;47306;49419;45407;55739;53063;;
5;Число гимназических классов, ед.;16;2;2;2;2;1;2;2;2;1;;;;
6;В них обучающихся, чел.;166;29;17;19;25;10;18;16;22;10;;;;
7;Число лицейских классов, ед.;98;;;;;;;;18;26;28;26;;
8;В них обучающихся, чел.;1691;;;;;;;;293;426;528;444;;
9;Итого классов (без классов для обучающихся с ограниченными возможностями здоровья) (сумма строк 01, 03, 05, 07), ед.;41226;3634;3734;4122;4142;4105;4213;4141;4259;4066;2348;2462;;
10;"В них обучающихся (сумма строк 02, 04, 06, 08;  сумма строк 11 - 13), чел.";1130475;102176;106683;115925;116086;113265;115592;112614;114657;107683;63887;61907;;
11;в том числе обучаются:          очно;1122516;101881;106195;115284;115401;112661;114834;111874;113756;106635;63244;60751;;
12;очно-заочно;4268;97;176;239;254;293;422;399;490;612;393;893;;
13;заочно;3691;198;312;402;431;311;336;341;411;436;250;263;;
14;Из строки 10:          воспитанники (без приходящих учащихся);2532;12;24;24;17;46;70;485;576;508;358;412;;
15;девочки;553939;49700;52101;56710;56798;55576;56524;55108;56260;52555;31883;30724;;
16;оставленные на повторное обучение;2852;;330;177;407;144;204;308;340;913;29;;;
17;лица с ограниченными возможностями здоровья;25766;3119;3325;4393;4990;2061;2353;2049;1786;1337;177;176;;
18;из них:                инвалиды;82;;1;;;1;3;5;8;25;3;36;;
19;дети-инвалиды;6268;913;704;723;815;575;656;566;563;507;133;113;;
20;инвалиды (кроме учтенных в строке 18);102;;;;;;;2;;3;3;94;;
21;дети-инвалиды (кроме учтенных в строке 19);9230;583;679;771;797;921;940;956;1111;1122;718;632;;
22;дети-сироты и дети, оставшиеся без попечения родителей;520;125;160;50;32;15;27;19;32;36;11;13;;
23;из них воспитанники (без приходящих учащихся);;;;;;;;;;;;;;
24;обучающиеся иностранные граждане;25058;729;2952;3540;3270;3049;3098;2496;2404;2013;722;785;;
25;из них девочки;11927;347;1427;1647;1545;1437;1504;1175;1153;951;382;359;;
26;обучающиеся лица без гражданства;;;;;;;;;;;;;;
