;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;14043;1639;1878;2218;2339;1218;1382;1167;1070;851;142;139;;;;;;;;
2;В них обучающихся (всего), чел.;387372;45710;53695;62498;65628;33190;37408;31259;28675;22559;3626;3124;;;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;11;4;2;2;1;;1;;;;;1;;;1;3;;11;;
4;слабослышащие;138;19;22;20;20;9;11;10;14;11;1;1;;;;;;138;;
5;позднооглохшие;317;30;48;40;32;36;21;30;31;25;13;11;;;;317;;314;1;2
6;слепые;5;;;;2;;;2;1;;;;;;1;4;;5;;
7;слабовидящие;434;49;47;46;45;36;45;34;51;45;22;14;;;4;321;;426;4;4
8;с тяжелыми нарушениями речи;6907;1031;1004;1511;1717;463;476;394;211;93;6;1;;;;293;;6862;28;17
9;с нарушением опорно-двигательного аппарата;2175;272;236;212;264;188;232;196;206;210;75;84;;;41;2000;;2046;108;21
10;с задержкой психического развития;10734;1000;1502;2049;2299;814;981;870;729;472;13;5;;;;592;;10573;127;34
11;с умственной отсталостью (интеллектуальными          нарушениями);2063;121;134;150;237;271;322;282;302;244;;;;;18;734;;1922;122;19
12;с расстройствами аутистического спектра;2796;582;318;353;360;228;245;215;217;213;28;37;;;15;1872;;2579;167;50
13;со сложными дефектами;;;;;;;;;;;;;;;;;;;;
14;с иными ограниченными возможностями          здоровья;186;11;12;10;13;16;19;16;24;24;19;22;;;2;132;;186;;
