;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего  (сумма граф 4 - 17);1-й класс;1-й класс первого года обучения;1-й класс второго года обучения;2-й класс;3-й класс;4-й класс;5-й класс;6-й класс;7-й класс;8-й класс;9-й класс;10-й класс;11-й класс;12-й класс
1;Всего обучающихся, окончивших классы (сумма строк 02, 11);10551;480;579;438;915;945;1077;1062;1174;961;913;1989;18;;
2;Численность обучающихся, окончивших данный класс – всего  (сумма строк 03–05) (сумма строк 06–10);10533;478;579;438;913;945;1076;1056;1174;959;910;1987;18;;
3;в том числе (из строки 02) обучались:       очно;10087;462;562;434;884;907;1033;1014;1115;918;872;1868;18;;
4;очно-заочно;380;16;13;1;27;33;33;35;50;35;33;104;;;
5;заочно;66;;4;3;2;5;10;7;9;6;5;15;;;
6;в том числе (из строки 02)  по программам с нормативным    сроком освоения:       9 лет;3392;312;;;242;325;415;413;463;370;375;477;;;
7;10 лет;1778;;275;184;193;116;168;154;198;110;111;269;;;
8;11 лет;1229;50;101;150;113;113;126;101;110;95;78;192;;;
9;12 лет;2861;116;;;262;283;262;273;259;269;289;848;;;
10;13 лет;1273;;203;104;103;108;105;115;144;115;57;201;18;;
11;Численность экстернов, окончивших данный класс (сумма строк 12–16);18;2;;;2;;1;6;;2;3;2;;;
12;в том числе по программам с нормативным сроком освоения:       9 лет;10;1;;;2;;1;1;;1;3;1;;;
13;10 лет;;;;;;;;;;;;;;;
14;11 лет;1;1;;;;;;;;;;;;;
15;12 лет;5;;;;;;;3;;1;;1;;;
16;13 лет;2;;;;;;;2;;;;;;;
17;Из строки 11 – обучались:       в форме семейного образования;18;2;;;2;;1;6;;2;3;2;;;
18;по программам, не имеющим государственной аккредитации;;;;;;;;;;;;;;;
