;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;Всего, человек;Из них (из графы 3) имеют образование: Высшее;Из них (из графы 3) имеют образование: из них (графы 4) педагогическое;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень кандидата наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание профессора;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание доцента;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки специалистов среднего звена;Из них (из графы 3) имеют образование: из них  (графы 10) педагогическое;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки квалифициро-ванных рабочих служащих;Из графы 3 имеют квалификационные категории высшую;Из графы 3 имеют квалификационные категории первую;Из графы 3 имеют квалификационные категории педагог-методист;Из графы 3 имеют квалификационные категории педагог-наставник;Из графы 3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 43, 44);144353;115342;93565;44;1813;26;193;21807;10239;2233;35654;21359;12;1;124902;
2;в том числе:       руководящие работники – всего;2362;2361;1719;7;212;2;14;;;;35;5;1;;1735;
3;из них:             директор;510;510;420;6;85;2;5;;;;8;;;;336;
4;заместители директора;1822;1822;1270;;125;;9;;;;23;5;1;;1378;
5;руководитель филиала;14;14;10;;1;;;;;;3;;;;10;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);109617;99164;89029;31;1528;21;166;10356;9236;85;35467;21208;11;1;98007;107867
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);59649;57941;53591;26;1149;18;131;1697;1545;5;24068;10407;7;;51626;58645.5
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;16955;15750;15079;;56;;1;1202;1151;2;7143;3329;;;16826;16819
9;русского языка и литературы;7030;7015;6778;5;205;2;13;15;14;;3384;961;;;6750;
10;языка народов России и литературы;1;1;1;;;;;;;;;;;;1;
11;истории, экономики, права, обществознания;3825;3819;3572;3;162;1;13;6;3;;1565;614;2;;2661;
12;информатики;2644;2592;2075;;56;1;7;51;27;;853;497;1;;1591;
13;физики;1678;1677;1441;5;102;4;20;1;1;;718;250;;;1160;
14;математики;6741;6721;5980;8;141;4;27;18;15;;2516;1028;;;5917;
15;химии;1139;1138;985;;72;;6;;;;521;154;1;;990;
16;географии;1501;1499;1395;;35;;5;2;2;;640;236;;;1185;
17;биологии;1730;1729;1606;4;81;1;5;1;1;;766;253;;;1533;
18;иностранных языков;9399;9376;8797;1;166;;19;22;19;;3203;1801;3;;8866;
19;из них:                         английского языка;8585;8565;8035;1;143;;17;19;17;;2907;1668;3;;8115;
20;немецкого языка;307;306;293;;7;;2;1;;;129;55;;;287;
21;французского языка;259;258;252;;7;;;1;1;;107;49;;;244;
22;китайского языка;97;97;80;;1;;;;;;10;11;;;81;
23;физической культуры;3509;3367;3062;;22;;4;142;131;;1424;674;;;1406;
24;труда (технологии);1287;1196;1002;;10;1;1;90;59;1;420;252;;;838;
25;музыки и пения;986;883;815;;15;;1;102;98;1;422;154;;;913;
26;изобразительного искусства, черчения;755;723;604;;11;;1;31;21;1;319;115;;;708;
27;основ безопасности и защиты Родины;171;169;133;;2;;1;2;2;;48;42;;;28;
28;основ духовно-нравственной культуры народов России;10;10;9;;;;;;;;4;2;;;10;
29;прочих предметов;288;276;257;;13;4;7;12;1;;122;45;;;243;
30;учителя-логопеды;3287;3276;3161;;20;;3;11;11;;1097;656;1;;3281;3270
31;учителя-дефектологи;1395;1394;1353;;9;;;1;1;;304;277;;;1375;1377.5
32;из них:                   олигофренопедагог;5;5;5;;;;;;;;1;;;;5;2
33;тифлопедагог;;;;;;;;;;;;;;;;1
34;сурдопедагог;3;3;3;;;;;;;;;;;;3;3
35;социальные педагоги;1240;1188;929;;16;;;51;44;1;165;200;;;1144;1228
36;педагоги дополнительного образования;3889;3438;2399;2;54;1;10;448;327;3;825;412;;;2885;3727.3
37;педагоги-психологи;2962;2951;2734;;73;1;2;11;9;;756;522;;1;2828;2931
38;воспитатели;25343;18433;16248;;35;;7;6838;6236;68;5965;7036;1;;24659;25165.5
39;мастера производственного обучения;;;;;;;;;;;;;;;;
40;тьюторы;2111;1730;1461;1;10;;;377;317;4;215;232;;;1903;2065.1
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;1092;1082;888;;1;;;10;8;;93;116;;;872;1086
42;другие;8649;7731;6265;2;161;1;13;912;738;4;1979;1350;2;;7434;8513.9
43;учебно-вспомогательный персонал;13051;2977;965;;11;;2;6235;714;1341;27;52;;;12805;
44;иной персонал;19323;10840;1852;6;62;3;11;5216;289;807;125;94;;;12355;
45;из них:             ассистент (помощник);549;176;85;;;;;276;72;19;4;8;;;510;475
46;сурдопереводчик;;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;89;87;87;;;;;2;1;;12;15;;;89;
49;из них воспитатели;75;73;70;;;;;2;1;;9;7;;;75;
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;;;;;;;;;;;;;;;;
51;из них учителя;;;;;;;;;;;;;;;;
52;персонал, работающий в отдельных классах для             обучающихся с ограниченными возможностями здоровья;3229;2996;2888;;11;;;216;164;;754;559;;;2377;
53;из них учителя - всего;1897;1838;1771;;8;;;59;56;;530;348;;;1428;
54;из них учителя, осуществляющие деятельность по                    реализации программ начального общего образования;813;773;768;;;;;31;31;;177;154;;;630;
55;персонал, получающий надбавки за работу с лицами с             ограниченными возможностями здоровья, находящимися             на совместном обучении;10660;9288;8552;2;72;;5;1356;1250;16;3243;2259;;;9891;
56;Из общей численности учителей-дефектологов (строка 31 графа 3) - учителя, имеющие специальное дефектологическое образование;903;903;;;;;;;;;;;;;;
57;Справочно. Код по ОКЕИ: человек – 792  Численность руководителей (из стр. 02, гр. 03), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;2016;;;;;;;;;;;;;;;
58;из них директор;493;;;;;;;;;;;;;;;
59;Численность педагогических работников (из стр. 06, гр. 03), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;73234;;;;;;;;;;;;;;;
60;из них учителя;43644;;;;;;;;;;;;;;;
61;Кроме того (кроме стр. 01, гр. 03), численность медицинских работников (сумма строк 63, 64);189;;;;;;;;;;;;;;;
62;из них женщин;167;;;;;;;;;;;;;;;
63;в том числе:          врачи всех специальностей;57;;;;;;;;;;;;;;;
64;медицинские сестры;132;;;;;;;;;;;;;;;
65;Из строки 07 графы 3 численность учителей, использующих в учебном процессе персональные компьютеры;58907;;;;;;;;;;;;;;;
66;Из строки 06 графы 3 численность педагогических работников, осуществляющих классное руководство;41665;;;;;;;;;;;;;;;
67;в том числе:       осуществляющих классное руководство в одном классе;41104;;;;;;;;;;;;;;;
68;осуществляющих классное руководство в двух и более класса;561;;;;;;;;;;;;;;;
