;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателя;Всего (сумма граф 04 - 16);Программы начального общего образования 1-й класс;Программы начального общего образования 2-й класс;Программы начального общего образования 3-й класс;Программы начального общего образования 4-й класс;Программы основного общего образования 5-й класс;Программы основного общего образования 6-й класс;Программы основного общего образования 7-й класс;Программы основного общего образования 8-й класс;Программы основного общего образования 9-й класс;Программы среднего общего образования 10-й класс;Программы среднего общего образования 11-й класс (выпускной);Программы среднего общего образования 11-й класс;Программы среднего общего образования 12-й класс
1;Число классов без углубленного изучения предметов, ед.;30945;3584;3486;3719;3780;3327;3351;3015;2974;2943;394;360;8;4
2;В них обучающихся, чел.;855662;96813;99564;104886;107610;92339;93564;82683;80896;79456;9570;8053;137;91
3;Число классов с углубленным изучением отдельных предметов, ед.;3463;55;75;89;59;206;187;337;298;247;987;921;2;
4;В них обучающихся, чел.;88489;1526;2074;2443;1564;5801;5378;9265;8267;6685;24555;20895;36;
5;Число гимназических классов, ед.;1847;157;156;167;180;207;206;208;200;197;90;79;;
6;В них обучающихся, чел.;51505;4202;4622;4980;5219;5824;5861;5725;5465;5338;2302;1967;;
7;Число лицейских классов, ед.;2108;184;184;196;198;228;222;221;227;220;115;113;;
8;В них обучающихся, чел.;58825;5131;5242;5734;5685;6504;6300;6124;6377;6006;3020;2702;;
9;Итого классов (без классов для обучающихся с ограниченными возможностями здоровья) (сумма строк 01, 03, 05, 07), ед.;38363;3980;3901;4171;4217;3968;3966;3781;3699;3607;1586;1473;10;4
10;"В них обучающихся (сумма строк 02, 04, 06, 08;  сумма строк 11 - 13), чел.";1054481;107672;111502;118043;120078;110468;111103;103797;101005;97485;39447;33617;173;91
11;в том числе обучаются:          очно;1053639;107666;111494;118037;120073;110446;111072;103760;100930;97381;39230;33466;84;
12;очно-заочно;745;2;5;3;;17;30;34;71;97;215;138;69;64
13;заочно;97;4;3;3;5;5;1;3;4;7;2;13;20;27
14;Из строки 10:          воспитанники (без приходящих учащихся);1085;55;41;40;22;88;114;117;172;182;132;122;;
15;девочки;516903;53056;54287;57835;58888;54130;53928;50873;49308;47052;20246;17192;69;39
16;оставленные на повторное обучение;630;33;57;49;129;25;23;42;24;243;1;2;;2
17;лица с ограниченными возможностями здоровья;7939;978;1144;1156;1184;726;760;660;603;633;57;37;1;
18;из них:                инвалиды;189;25;25;14;20;23;23;17;13;19;8;2;;
19;дети-инвалиды;2189;303;307;274;289;203;222;168;188;177;34;23;1;
20;инвалиды (кроме учтенных в строке 18);302;32;30;21;27;33;30;29;23;48;14;11;1;3
21;дети-инвалиды (кроме учтенных в строке 19);8827;611;801;865;859;945;933;977;984;1069;391;392;;
22;дети-сироты и дети, оставшиеся без попечения родителей;3276;167;210;262;341;354;422;398;429;474;121;98;;
23;из них воспитанники (без приходящих учащихся);4;;;;1;1;1;;;;1;;;
24;обучающиеся иностранные граждане;35818;4247;4749;4824;4477;3840;3763;3520;3081;2374;553;389;1;
25;из них девочки;14431;1759;1878;2031;1850;1523;1514;1354;1198;918;229;176;1;
26;обучающиеся лица без гражданства;1649;188;213;204;189;178;191;176;161;123;17;9;;
