;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателя;Всего  (сумма граф 4 - 17);1-й класс;1-й класс первого года обучения;1-й класс второго года обучения;2-й класс;3-й класс;4-й класс;5-й класс;6-й класс;7-й класс;8-й класс;9-й класс;10-й класс;11-й класс;12-й класс
1;Число классов с нормативным сроком освоения программ 9 лет, ед.;725;50;;;65;71;74;85;83;88;100;109;;;
2;В них обучающихся, чел.;8496;511;;;714;792;908;962;1032;1092;1199;1286;;;
3;Число классов с нормативным сроком освоения программ 10 лет, ед.;121;;19;21;14;11;12;13;10;10;5;6;;;
4;В них обучающихся, чел.;1284;;170;200;166;126;150;126;97;115;59;75;;;
5;Число классов с нормативным сроком освоения программ 11 лет, ед.;35;3;8;10;4;3;3;1;;;;1;2;;
6;В них обучающихся, чел.;327;31;69;97;48;23;30;11;;;;9;9;;
7;Число классов с нормативным сроком освоения программ 12 лет, ед.;108;10;;;13;11;8;13;7;12;9;13;4;4;4
8;В них обучающихся, чел.;1071;67;;;103;95;79;139;96;142;125;126;30;40;29
9;Число классов с нормативным сроком освоения программ 13 лет, ед.;120;;14;24;10;10;10;5;5;7;21;6;4;3;1
10;В них обучающихся, чел.;1069;;104;209;88;92;87;48;54;53;220;55;31;26;2
11;Итого классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями), ед. (сумма строк 01, 03, 05, 07, 09);1109;63;41;55;106;106;107;117;105;117;135;135;10;7;5
12;"В них обучающихся, чел. (сумма строк 02, 04, 06, 08, 10;    сумма строк 13-15)";12247;609;343;506;1119;1128;1254;1286;1279;1402;1603;1551;70;66;31
13;в том числе обучаются:          очно;11866;575;340;490;1081;1091;1218;1244;1248;1361;1563;1488;70;66;31
14;очно-заочно;381;34;3;16;38;37;36;42;31;41;40;63;;;
15;заочно;;;;;;;;;;;;;;;
16;из них (из строки 12):       воспитанники (без приходящих учащихся);1337;61;7;34;104;130;145;137;165;178;174;199;3;;
17;девочки;4137;184;95;178;380;361;414;443;447;483;579;516;24;21;12
18;лица с ограниченными возможностями здоровья;12216;600;343;506;1110;1115;1254;1286;1279;1402;1603;1551;70;66;31
19;из них (из строки 18):             инвалиды;210;;;;76;;2;2;3;28;54;41;4;;
20;дети-инвалиды;6364;374;222;375;614;595;671;630;617;642;796;721;57;37;13
21;инвалиды (кроме учтенных в строке 19);;;;;;;;;;;;;;;
22;дети-инвалиды (кроме учтенных в строке 20);;;;;;;;;;;;;;;
23;дети-сироты и дети, оставшиеся без попечения родителей;613;10;6;17;24;39;55;40;56;60;206;81;11;6;2
24;из них воспитанники (без приходящих учащихся);26;4;;;1;4;2;2;3;2;5;3;;;
25;обучающиеся иностранные граждане;112;6;3;4;11;9;11;19;12;13;11;10;;2;1
26;из них девочки;21;;1;3;1;;1;6;1;3;4;1;;;
27;обучающиеся лица без гражданства;8;;;;4;;;2;;1;1;;;;
