;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих  учебные предметы - всего;116598;10595;48692;57311;116252;334;12
2;из них:        русский язык;3866;27;2775;1064;3866;;
3;литературное чтение;27;27;;;27;;
4;родной язык и (или) государственный язык       республики Российской Федерации;;;;;;;
5;литературное чтение на родном языке;;;;;;;
6;окружающий мир;27;27;;;27;;
7;математика;61738;6579;25163;29996;61711;27;
8;изобразительное искусство;;;;;;;
9;музыка;575;253;273;49;575;;
10;труд (технология);;;;;;;
11;физическая культура;80;;28;52;80;;
12;литература;5702;;320;5382;5598;92;12
13;родная литература;;;;;;;
14;иностранный язык;25280;3763;12868;8649;25273;7;
15;из них:              английский;24783;3644;12575;8564;24776;7;
16;немецкий;392;21;284;87;392;;
17;французский;251;;133;118;251;;
18;испанский;26;11;;15;26;;
19;другие европейские языки;;;;;;;
20;китайский;147;87;;60;147;;
21;другие восточные языки;;;;;;;
22;информатика;14395;;5266;9129;14307;88;
23;история;4579;;156;4423;4562;17;
24;обществознание;32250;;1593;30657;32159;79;12
25;география;1435;;219;1216;1348;87;
26;физика;8848;;3370;5478;8834;14;
27;химия;5641;;1272;4369;5627;14;
28;биология;7654;;2330;5324;7639;15;
29;основы безопасности и защиты Родины;73;;;73;73;;
