;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего  (сумма граф 4 - 17);1-й класс;1-й класс первого года обучения;1-й класс второго года обучения;2-й класс;3-й класс;4-й класс;5-й класс;6-й класс;7-й класс;8-й класс;9-й класс;10-й класс;11-й класс;12-й класс
1;Всего обучающихся, окончивших классы (сумма строк 02, 11);12950;920;383;322;1086;1311;1215;1342;1456;1655;1576;1435;131;110;8
2;Численность обучающихся, окончивших данный класс – всего  (сумма строк 03–05) (сумма строк 06–10);12816;900;380;321;1080;1296;1209;1332;1441;1646;1564;1398;131;110;8
3;в том числе (из строки 02) обучались:       очно;12438;867;368;314;1043;1260;1171;1300;1400;1606;1501;1359;131;110;8
4;очно-заочно;378;33;12;7;37;36;38;32;41;40;63;39;;;
5;заочно;;;;;;;;;;;;;;;
6;в том числе (из строки 02)  по программам с нормативным    сроком освоения:       9 лет;9639;786;;;773;948;962;1111;1157;1242;1359;1301;;;
7;10 лет;1055;;140;187;118;166;100;106;118;68;36;;16;;
8;11 лет;557;85;79;49;52;35;27;;;20;23;32;81;74;
9;12 лет;636;29;;;51;71;59;67;112;99;89;30;13;8;8
10;13 лет;929;;161;85;86;76;61;48;54;217;57;35;21;28;
11;Численность экстернов, окончивших данный класс (сумма строк 12–16);134;20;3;1;6;15;6;10;15;9;12;37;;;
12;в том числе по программам с нормативным сроком освоения:       9 лет;106;17;;;4;10;5;5;9;8;11;37;;;
13;10 лет;6;;1;;2;;1;1;;;1;;;;
14;11 лет;;;;;;;;;;;;;;;
15;12 лет;15;3;;;;3;;4;5;;;;;;
16;13 лет;7;;2;1;;2;;;1;1;;;;;
17;Из строки 11 – обучались:       в форме семейного образования;112;17;1;;6;11;6;6;9;9;11;36;;;
18;по программам, не имеющим государственной аккредитации;;;;;;;;;;;;;;;
