;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих  учебные предметы - всего;11851;1264;5929;4658;11729;67;55
2;из них:        русский язык;103;;102;1;103;;
3;литературное чтение;;;;;;;
4;родной язык и (или) государственный язык       республики Российской Федерации;;;;;;;
5;литературное чтение на родном языке;;;;;;;
6;окружающий мир;;;;;;;
7;математика;4799;285;2510;2004;4798;;1
8;изобразительное искусство;;;;;;;
9;музыка;;;;;;;
10;труд (технология);;;;;;;
11;физическая культура;;;;;;;
12;литература;520;;19;501;466;;54
13;родная литература;;;;;;;
14;иностранный язык;3611;979;2254;378;3611;;
15;из них:              английский;3611;979;2254;378;3611;;
16;немецкий;;;;;;;
17;французский;;;;;;;
18;испанский;;;;;;;
19;другие европейские языки;;;;;;;
20;китайский;;;;;;;
21;другие восточные языки;;;;;;;
22;информатика;1334;;404;930;1267;67;
23;история;454;;50;404;454;;
24;обществознание;2107;;151;1956;2053;;54
25;география;159;;;159;92;67;
26;физика;616;;77;539;615;;1
27;химия;819;;130;689;819;;
28;биология;1287;;433;854;1287;;
29;основы безопасности и защиты Родины;84;;84;;84;;
