;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего (сумма граф 4 - 9);Из графы 3 – имеют общий стаж работы, лет до 3;Из графы 3 – имеют общий стаж работы, лет от 3 до 5;Из графы 3 – имеют общий стаж работы, лет от 5 до 10;Из графы 3 – имеют общий стаж работы, лет от 10 до 15;Из графы 3 – имеют общий стаж работы, лет от 15 до 20;Из графы 3 – имеют общий стаж работы, лет 20 и более;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);Из графы 10 – имеют педагогический стаж работы, лет до 3;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;Не имеют стажа педа- гогической работы
1;Численность работников – всего (сумма строк 02, 06, 43, 44);9723;717;479;1058;1128;1063;5278;6488;779;477;892;756;586;2998;3235
2;в том числе:       руководящие работники – всего;572;3;5;31;50;70;413;461;12;8;38;45;55;303;111
3;из них:             директор;157;;;4;5;16;132;156;1;;9;9;22;115;1
4;заместители директора;401;2;5;25;45;53;271;302;11;7;29;36;33;186;99
5;руководитель филиала;1;;;;;;1;1;;;;;;1;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);6003;603;381;769;713;583;2954;5934;751;460;840;700;524;2659;69
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);4941;486;309;611;563;463;2509;4894;563;352;665;570;425;2319;47
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;1542;162;119;195;151;132;783;1530;187;122;202;149;126;744;12
9;русского языка и литературы;578;56;34;58;56;35;339;569;58;39;63;51;34;324;9
10;языка народов России и литературы;;;;;;;;;;;;;;;
11;истории, экономики, права, обществознания;302;38;25;48;34;28;129;300;50;24;52;32;23;119;2
12;информатики;136;11;11;23;16;15;60;135;12;17;26;15;13;52;1
13;физики;137;7;9;13;14;9;85;137;12;8;20;14;6;77;
14;математики;483;41;29;64;54;48;247;472;46;36;61;56;42;231;11
15;химии;101;8;5;17;10;7;54;100;8;10;15;11;5;51;1
16;географии;128;10;3;12;16;15;72;127;13;5;13;18;16;62;1
17;биологии;132;15;1;17;19;14;66;132;16;4;20;21;12;59;
18;иностранных языков;573;57;38;83;77;84;234;571;64;43;88;81;75;220;2
19;из них:                         английского языка;569;57;38;83;77;84;230;567;64;43;88;80;75;217;2
20;немецкого языка;2;;;;;;2;2;;;;1;;1;
21;французского языка;2;;;;;;2;2;;;;;;2;
22;китайского языка;;;;;;;;;;;;;;;
23;физической культуры;363;39;21;42;60;36;165;358;42;22;51;60;35;148;5
24;труда (технологии);222;19;3;21;22;19;138;221;25;10;26;28;16;116;1
25;музыки и пения;97;11;4;6;14;8;54;97;14;4;8;12;9;50;
26;изобразительного искусства, черчения;60;8;5;5;8;6;28;59;10;5;7;9;4;24;1
27;основ безопасности и защиты Родины;41;4;;4;7;2;24;40;4;2;7;6;2;19;1
28;основ духовно-нравственной культуры народов России;2;;1;;1;;;2;;1;;1;;;
29;прочих предметов;44;;1;3;4;5;31;44;2;;6;6;7;23;
30;учителя-логопеды;115;8;4;15;17;15;56;113;10;8;19;14;12;50;2
31;учителя-дефектологи;46;7;4;7;7;3;18;45;9;3;7;7;3;16;1
32;из них:                   олигофренопедагог;14;2;1;1;4;2;4;14;3;1;2;3;1;4;
33;тифлопедагог;2;;;;;;2;2;;;;;;2;
34;сурдопедагог;4;;;;;;4;4;;;;;;4;
35;социальные педагоги;118;9;9;21;22;10;47;116;22;10;23;14;10;37;2
36;педагоги дополнительного образования;83;13;4;7;10;5;44;81;17;7;5;12;5;35;2
37;педагоги-психологи;152;20;17;29;19;21;46;149;28;16;35;16;20;34;3
38;воспитатели;283;31;15;27;35;37;138;279;44;24;36;36;32;107;4
39;мастера производственного обучения;;;;;;;;;;;;;;;
40;тьюторы;44;7;8;5;5;3;16;44;9;9;7;4;2;13;
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;27;1;3;4;7;6;6;27;5;6;4;5;3;4;
42;другие;194;21;8;43;28;20;74;186;44;25;39;22;12;44;8
43;учебно-вспомогательный персонал;562;38;22;71;76;87;268;62;11;7;12;8;3;21;500
44;иной персонал;2586;73;71;187;289;323;1643;31;5;2;2;3;4;15;2555
45;из них:             ассистент (помощник);24;2;2;2;4;7;7;1;1;;;;;;23
46;сурдопереводчик;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;34;2;2;6;4;9;11;33;3;3;4;4;9;10;1
49;из них воспитатели;30;2;2;5;4;9;8;29;3;3;3;4;9;7;1
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;6;;;;;1;5;6;1;;;1;1;3;
51;из них учителя;6;;;;;1;5;6;1;;;1;1;3;
;;;;;;;;;;;;;;;;
;;Данные графы 3 по строкам 01–51 равны данным графы 3 подраздела 3.1 по соответствующим строкам 01-51.;;;;;;;;;;;;;;
