;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);373;184;188.6
2;в том числе:       руководящие работники – всего;3;3;1.7
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);184;125;92.6
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);118;89;64
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;14;14;8.1
6;русского языка и литературы;6;6;4
7;языка народов России и литературы;;;
8;истории, экономики, права, обществознания;7;5;4.8
9;информатики;12;6;3.4
10;физики;9;7;6.4
11;математики;3;3;2.8
12;химии;7;5;2.9
13;географии;5;4;3.7
14;биологии;5;5;3.2
15;иностранных языков;9;9;4.8
16;из них:                      английского языка;9;9;4.8
17;немецкого языка;;;
18;французского языка;;;
19;китайского языка;;;
20;физической культуры;12;4;5.8
21;труда (технологии);5;3;3.9
22;музыки и пения;7;6;3.7
23;изобразительного искусства, черчения;3;3;1.4
24;основ безопасности и защиты Родины;4;;1.3
25;основ духовно-нравственной культуры народов России;;;0.2
26;прочих предметов;10;9;6
27;учителя-логопеды;10;10;5.9
28;учителя-дефектологи;2;2;1.2
29;из них:                олигофренопедагог;;;0.2
30;тифлопедагог;;;
31;сурдопедагог;;;
32;социальные педагоги;1;1;0.5
33;педагоги дополнительного образования;38;14;15.7
34;педагоги-психологи;5;5;2.3
35;воспитатели;;;0.5
36;мастера производственного обучения;;;
37;тьюторы;;;
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;;;0.5
39;другие;10;4;3.7
40;учебно-вспомогательный персонал;49;16;24.7
41;иной персонал;137;40;65.2
42;из них:             ассистент(помощник);1;1;1
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;;;
46;из них воспитатели;;;
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;;;
48;из них учителя;;;
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;5;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;2;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);12;;
53;из них женщин;12;;
54;в том числе:          врачи всех специальностей;7;;
55;медицинские сестры;5;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;62;;
