;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13
№ строки;Наименование показателей;Число ставок   по штату, единиц;Фактически занято, единиц всего;Фактически занято, единиц работниками списочного состава;Численность работников на начало предыдущего учебного года (без внешних совместителей и работавших по договорам гражданско-правового характера), человек;Принято работников, человек всего;Принято работников, человек из них выпускники: со средним про-фессиональным образованием по программам подготовки специалистов среднего звена;Принято работников, человек из них выпускники: с высшим образованием;Выбыло работников, человек всего;Выбыло работников, человек из них по собственному желанию;Численность работников на начало отчет- ного учебного года (без совместителей и работающих по договорам гражданско-правового характера), человек;Число вакантных должностей, единиц
1;Численность работников – всего (сумма строк 02, 06, 43,44);13971.62;13493.39;13225.61;9643;1363;293;495;1283;1227;9723;416
2;в том числе:       руководящие работники – всего;703.15;681.95;671.5;583;70;3;30;79;77;572;18
3;из них:             директор;160;158;158;158;14;;4;16;16;157;2
4;заместители директора;518.05;495.45;485.5;413;54;3;26;61;59;401;15
5;руководитель филиала;8.1;6.5;5.5;2;;;;;;1;1
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);9078.88;8811.75;8661.25;5892;828;130;430;723;688;6003;235
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);7292.21;7182.88;7094.04;4911;592;88;327;572;544;4941;96
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;1856.2;1815.68;1805.94;1545;155;41;72;163;153;1542;3
9;русского языка и литературы;895.85;885.1;883.16;577;95;3;65;93;88;578;19
10;языка народов России и литературы;;;;;;;;;;;
11;истории, экономики, права, обществознания;442.41;440.21;434.85;294;37;2;28;30;26;302;5
12;информатики;190.67;187.31;181.59;135;17;5;5;18;18;136;4
13;физики;209.6;205.8;197.18;135;13;;8;10;9;137;3
14;математики;786.32;777.86;775.58;468;73;2;51;56;55;483;18
15;химии;126.11;124.79;120.63;103;17;1;14;20;19;101;2
16;географии;195.68;194.35;189.06;130;19;1;12;20;19;128;2
17;биологии;205.42;203.22;198.45;136;17;1;10;19;19;132;2
18;иностранных языков;835.21;827.55;823.94;574;61;3;27;63;62;573;13
19;из них:                         английского языка;829.52;821.86;812.35;571;59;3;26;63;62;569;13
20;немецкого языка;2.39;2.39;2.39;1;1;;;;;2;
21;французского языка;3.3;3.3;3.3;2;;;;;;2;
22;китайского языка;;;;;;;;;;;
23;физической культуры;482.16;478.7;470.85;368;23;10;8;31;30;363;2
24;труда (технологии);341.32;334.47;327.05;212;32;10;14;20;18;222;4
25;музыки и пения;153.13;150.16;146.57;95;16;5;6;16;16;97;6
26;изобразительного искусства, черчения;90.58;89.84;87.27;56;6;2;3;3;2;60;2
27;основ безопасности и защиты Родины;67.9;67.9;65.48;40;7;1;3;5;5;41;1
28;основ духовно-нравственной культуры народов России;20;20;18.89;;1;;;1;1;2;
29;прочих предметов;393.65;379.94;367.55;43;3;1;1;4;4;44;10
30;учителя-логопеды;173.94;156.37;146.23;107;25;1;17;18;18;115;20
31;учителя-дефектологи;87.41;80.39;77.67;35;12;1;7;2;2;46;7
32;из них:                      олигофренопедагог;21.97;19.47;19.25;10;4;;3;;;14;2
33;тифлопедагог;3.05;3.05;3.05;2;;;;;;2;
34;сурдопедагог;7.22;7.22;7.22;4;;;;;;4;
35;социальные педагоги;141.25;134.25;132.25;118;11;1;3;13;12;118;9
36;педагоги дополнительного образования;333.03;288.33;260.61;85;18;3;9;17;15;83;34
37;педагоги-психологи;188.67;167.9;163.07;144;29;3;18;21;19;152;26
38;воспитатели;407.62;383.57;382.32;262;59;18;15;32;32;283;17
39;мастера производственного обучения;;;;;;;;;;;
40;тьюторы;66.75;58.5;58.5;32;15;2;7;3;3;44;8
41;советники директора по воспитанию и взаимодействию                с детскими общественными объединениям;67.6;65.4;61.4;5;17;2;5;1;1;27;
42;другие;320.4;294.16;285.16;193;50;11;22;44;42;194;18
43;учебно-вспомогательный персонал;747.9;713.43;684.25;557;82;26;16;83;81;562;26
44;иной персонал;3441.69;3286.26;3208.61;2611;383;134;19;398;381;2586;137
45;из них:             ассистент (помощник);28.55;24.55;23.55;20;7;2;;1;1;24;3
46;сурдопереводчик;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;
48;Из общей численности педагогических работников (стр.06):             персонал, работающий в подразделениях (группах)             дошкольного образования;40.8;36.55;31;33;3;;;3;3;34;11
49;из них воспитатели;29.55;29.25;27;27;3;;;2;2;30;8
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;7.56;7.56;7.56;6;;;;;;6;
51;из них учителя;7.56;7.56;7.56;6;;;;;;6;
;;;;;;;;;;;;
;;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам
