;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих  учебные предметы - всего;1441;446;556;439;1441;;
2;из них:        русский язык;89;;73;16;89;;
3;литературное чтение;;;;;;;
4;родной язык и (или) государственный язык       республики Российской Федерации;;;;;;;
5;литературное чтение на родном языке;;;;;;;
6;окружающий мир;;;;;;;
7;математика;750;364;258;128;750;;
8;изобразительное искусство;;;;;;;
9;музыка;;;;;;;
10;труд (технология);;;;;;;
11;физическая культура;;;;;;;
12;литература;102;;;102;102;;
13;родная литература;;;;;;;
14;иностранный язык;233;82;108;43;233;;
15;из них:              английский;125;82;;43;125;;
16;немецкий;108;;108;;108;;
17;французский;;;;;;;
18;испанский;;;;;;;
19;другие европейские языки;;;;;;;
20;китайский;;;;;;;
21;другие восточные языки;;;;;;;
22;информатика;139;;70;69;139;;
23;история;240;;;240;240;;
24;обществознание;19;;;19;19;;
25;география;17;;;17;17;;
26;физика;35;;;35;35;;
27;химия;65;;23;42;65;;
28;биология;100;;24;76;100;;
29;основы безопасности и защиты Родины;;;;;;;
