;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего (сумма граф 4 - 9);Из графы 3 – имеют общий стаж работы, лет до 3;Из графы 3 – имеют общий стаж работы, лет от 3 до 5;Из графы 3 – имеют общий стаж работы, лет от 5 до 10;Из графы 3 – имеют общий стаж работы, лет от 10 до 15;Из графы 3 – имеют общий стаж работы, лет от 15 до 20;Из графы 3 – имеют общий стаж работы, лет 20 и более;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);Из графы 10 – имеют педагогический стаж работы, лет до 3;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;Не имеют стажа педа- гогической работы
1;Численность работников – всего (сумма строк 02, 06, 43, 44);1392;46;55;148;167;189;787;752;43;44;87;74;88;416;640
2;в том числе:       руководящие работники – всего;74;;;4;4;11;55;59;1;2;5;3;5;43;15
3;из них:             директор;25;;;1;2;3;19;25;;;4;3;2;16;
4;заместители директора;45;;;3;2;6;34;33;1;2;1;;3;26;12
5;руководитель филиала;1;;;;;;1;1;;;;;;1;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);681;24;26;71;75;89;396;679;42;39;82;69;82;365;2
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);476;14;13;45;56;66;282;475;20;20;49;52;59;275;1
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;161;7;4;20;14;23;93;160;7;5;21;16;20;91;1
9;русского языка и литературы;56;1;;2;6;6;41;56;1;;2;6;6;41;
10;языка народов России и литературы;2;;;1;;;1;2;;;1;;;1;
11;истории, экономики, права, обществознания;29;;2;4;5;1;17;29;1;6;3;4;;15;
12;информатики;15;;;2;1;1;11;15;;;3;1;;11;
13;физики;12;;1;1;2;1;7;12;;3;1;;1;7;
14;математики;39;1;;1;3;6;28;39;1;;2;3;6;27;
15;химии;9;;;;2;1;6;9;;;1;2;1;5;
16;географии;15;;1;1;;2;11;15;;1;1;;2;11;
17;биологии;14;2;;1;2;3;6;14;2;1;2;1;2;6;
18;иностранных языков;45;2;1;2;8;10;22;45;3;;2;8;10;22;
19;из них:                         английского языка;43;2;1;2;8;8;22;43;3;;2;8;8;22;
20;немецкого языка;2;;;;;2;;2;;;;;2;;
21;французского языка;;;;;;;;;;;;;;;
22;китайского языка;;;;;;;;;;;;;;;
23;физической культуры;34;;1;6;10;7;10;34;1;1;7;9;7;9;
24;труда (технологии);21;;2;;;5;14;21;2;1;;;4;14;
25;музыки и пения;6;;1;1;;;4;6;1;1;;;;4;
26;изобразительного искусства, черчения;4;;;;;;4;4;;;;;;4;
27;основ безопасности и защиты Родины;9;1;;1;2;;5;9;1;;2;1;;5;
28;основ духовно-нравственной культуры народов России;;;;;;;;;;;;;;;
29;прочих предметов;5;;;2;1;;2;5;;1;1;1;;2;
30;учителя-логопеды;12;3;;;;2;7;12;3;;;;2;7;
31;учителя-дефектологи;5;;;1;;2;2;5;;;1;;2;2;
32;из них:                   олигофренопедагог;;;;;;;;;;;;;;;
33;тифлопедагог;;;;;;;;;;;;;;;
34;сурдопедагог;;;;;;;;;;;;;;;
35;социальные педагоги;16;;1;3;3;4;5;16;2;2;3;1;3;5;
36;педагоги дополнительного образования;9;;;2;2;2;3;9;1;1;4;;;3;
37;педагоги-психологи;15;1;2;3;2;2;5;15;2;3;5;1;;4;
38;воспитатели;100;2;7;10;7;9;65;100;5;9;14;10;11;51;
39;мастера производственного обучения;3;;;;;;3;3;;;1;2;;;
40;тьюторы;5;;;;2;2;1;5;1;;;1;2;1;
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;6;1;2;1;;;2;5;2;1;;;;2;1
42;другие;34;3;1;6;3;;21;34;6;3;5;2;3;15;
43;учебно-вспомогательный персонал;141;2;8;12;18;13;88;14;;3;;2;1;8;127
44;иной персонал;496;20;21;61;70;76;248;;;;;;;;496
45;из них:             ассистент (помощник);;;;;;;;;;;;;;;
46;сурдопереводчик;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;54;1;3;5;5;7;33;54;4;3;5;4;7;31;
49;из них воспитатели;46;1;2;2;2;7;32;46;2;3;5;2;7;27;
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;;;;;;;;;;;;;;;
51;из них учителя;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;Данные графы 3 по строкам 01–51 равны данным графы 3 подраздела 3.1 по соответствующим строкам 01-51.;;;;;;;;;;;;;;
