;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
№ строки;Наименование показателей;Всего (сумма граф 4, 6, 8, 10, 12, 14, 16,  18, 20, 22);Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет всего;Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет из них женщины;Число полных лет  по состоянию на 1 января 20_ года 25–29 всего;Число полных лет  по состоянию на 1 января 20_ года 25–29 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 30–34 всего;Число полных лет  по состоянию на 1 января 20_ года 30–34 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 35–39 всего;Число полных лет  по состоянию на 1 января 20_ года 35–39 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 40–44 всего;Число полных лет  по состоянию на 1 января 20_ года 40–44 из них женщины;45–49 всего;45–49 из них женщины;50–54 всего;50–54 из них женщины;55–59 всего;55–59 из них женщины;60–64 всего;60–64 из них женщины;65 и более всего;65 и более из них женщины
1;Численность работников – всего (сумма строк 02, 06, 43,44);1392;48;46;91;69;112;86;160;126;220;181;229;199;169;137;161;142;114;93;88;71
2;в том числе:       руководящие работники – всего;74;1;1;2;2;4;2;7;5;13;12;14;11;17;14;9;9;2;2;5;5
3;из них:             директор;25;;;;;2;1;3;3;3;3;6;4;5;4;4;4;;;2;2
4;заместители директора;45;1;1;2;2;1;;4;2;10;9;7;7;11;9;4;4;2;2;3;3
5;руководитель филиала;1;;;;;;;;;;;;;1;1;;;;;;
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);681;25;25;52;42;55;45;83;63;102;92;127;119;73;65;67;63;58;53;39;35
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);476;15;15;32;24;36;26;57;41;78;69;97;90;41;39;46;43;42;37;32;29
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;161;8;8;13;12;13;12;18;18;24;24;30;30;11;11;23;23;15;15;6;6
9;русского языка и литературы;56;1;1;1;1;2;2;5;5;2;2;17;17;7;7;7;7;6;6;8;8
10;языка народов России и литературы;2;;;;;;;1;1;;;1;1;;;;;;;;
11;истории, экономики, права, обществознания;29;;;3;2;6;4;2;1;8;7;5;5;2;2;;;1;1;2;1
12;информатики;15;;;1;1;1;1;;;3;2;8;6;1;1;1;1;;;;
13;физики;12;;;1;;1;1;2;1;1;;1;1;2;2;1;1;2;1;1;1
14;математики;39;1;1;1;1;1;1;2;2;11;11;7;6;5;5;3;3;4;4;4;4
15;химии;9;;;;;1;1;;;3;3;1;1;;;1;1;;;3;2
16;географии;15;;;1;1;;;1;1;2;2;6;6;3;3;;;1;1;1;1
17;биологии;14;;;3;1;;;2;1;2;1;1;;4;4;1;1;1;1;;
18;иностранных языков;45;2;2;2;2;2;2;8;8;15;15;8;8;;;2;2;4;3;2;1
19;из них:                         английского языка;43;2;2;2;2;2;2;6;6;15;15;8;8;;;2;2;4;3;2;1
20;немецкого языка;2;;;;;;;2;2;;;;;;;;;;;;
21;французского языка;;;;;;;;;;;;;;;;;;;;;
22;китайского языка;;;;;;;;;;;;;;;;;;;;;
23;физической культуры;34;;;4;2;6;1;12;2;3;;3;1;1;1;1;1;4;2;;
24;труда (технологии);21;2;2;;;;;2;;3;1;4;4;2;1;3;2;2;2;3;3
25;музыки и пения;6;1;1;1;1;;;;;;;1;1;2;2;;;;;1;1
26;изобразительного искусства, черчения;4;;;;;;;;;;;2;2;;;1;1;;;1;1
27;основ безопасности и защиты Родины;9;;;1;;2;;1;;;;1;;1;;2;;1;1;;
28;основ духовно-нравственной культуры народов России;;;;;;;;;;;;;;;;;;;;;
29;прочих предметов;5;;;;;1;1;1;1;1;1;1;1;;;;;1;;;
30;учителя-логопеды;12;3;3;;;;;2;2;1;1;2;2;1;1;3;3;;;;
31;учителя-дефектологи;5;;;;;1;1;;;1;1;2;2;1;1;;;;;;
32;из них:                      олигофренопедагог;;;;;;;;;;;;;;;;;;;;;
33;тифлопедагог;;;;;;;;;;;;;;;;;;;;;
34;сурдопедагог;;;;;;;;;;;;;;;;;;;;;
35;социальные педагоги;16;;;4;3;2;2;3;3;2;2;2;2;1;1;;;1;1;1;1
36;педагоги дополнительного образования;9;;;;;;;3;2;1;;2;2;2;1;1;1;;;;
37;педагоги-психологи;15;;;4;4;2;2;3;3;2;2;3;3;;;1;1;;;;
38;воспитатели;100;3;3;6;5;9;9;12;9;9;9;11;11;19;16;13;13;14;14;4;3
39;мастера производственного обучения;3;;;;;;;;;;;;;2;;1;;;;;
40;тьюторы;5;;;;;1;1;2;2;1;1;;;;;;;;;1;1
41;советники директора по воспитанию и взаимодействию                с детскими общественными объединениям;6;1;1;2;2;;;;;2;2;1;1;;;;;;;;
42;другие;34;3;3;4;4;4;4;1;1;5;5;7;6;6;6;2;2;1;1;1;1
43;учебно-вспомогательный персонал;141;6;5;7;4;15;12;12;11;25;25;19;17;16;15;16;15;15;15;10;9
44;иной персонал;496;16;15;30;21;38;27;58;47;80;52;69;52;63;43;69;55;39;23;34;22
45;из них:             ассистент (помощник);;;;;;;;;;;;;;;;;;;;;
46;сурдопереводчик;;;;;;;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (стр.06):             персонал, работающий в подразделениях (группах)             дошкольного образования;54;2;2;2;2;2;2;7;7;10;10;5;5;10;10;7;7;9;9;;
49;из них воспитатели;46;1;1;2;2;2;2;7;7;7;7;2;2;10;10;6;6;9;9;;
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;;;;;;;;;;;;;;;;;;;;;
51;из них учителя;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам
;;Должностное лицо, ответственное за предоставление первичных статистических данных (лицо, уполномоченное предоставлять первичные статистические данные от имени юридического лица или от имени гражданина, осуществляющего предпринемательскую деятельность без;Должностное лицо, ответственное за предоставление первичных статистических данных (лицо, уполномоченное предоставлять первичные статистические данные от имени юридического лица или от имени гражданина, осуществляющего предпринемательскую деятельность без;Должностное лицо, ответственное за предоставление первичных статистических данных (лицо, уполномоченное предоставлять первичные статистические данные от имени юридического лица или от имени гражданина, осуществляющего предпринемательскую деятельность без;;;;;;;;;;;;;;;;;;
;;Должностное лицо, ответственное за предоставление первичных статистических данных (лицо, уполномоченное предоставлять первичные статистические данные от имени юридического лица или от имени гражданина, осуществляющего предпринемательскую деятельность без;Должностное лицо, ответственное за предоставление первичных статистических данных (лицо, уполномоченное предоставлять первичные статистические данные от имени юридического лица или от имени гражданина, осуществляющего предпринемательскую деятельность без;Должностное лицо, ответственное за предоставление первичных статистических данных (лицо, уполномоченное предоставлять первичные статистические данные от имени юридического лица или от имени гражданина, осуществляющего предпринемательскую деятельность без;;;;;;;;;;;;;;;;;;
;;образования юридического лица);образования юридического лица);образования юридического лица);;;;;;;;;;;;;;;;;;
;;;;;(должность);(должность);(должность);;(Ф.И.О);(Ф.И.О);(Ф.И.О);(подпись);;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;(номер контактного телефона);(номер контактного телефона);;(e-mail);(e-mail);;(дата составления документа);(дата составления документа);;;;;;;;;;
