;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателей;Всего (сумма граф 4 – 16);Программы начального общего образования 1-й класс;Программы начального общего образования 2-й класс;Программы начального общего образования 3-й класс;Программы начального общего образования 4-й класс;Программы основного общего образования 5-й класс;Программы основного общего образования 6-й класс;Программы основного общего образования 7-й класс;Программы основного общего образования 8-й класс;Программы основного общего образования 9-й класс;Программы среднего общего образования 10-й класс;Программы среднего общего образования 11-й класс (выпускной);Программы среднего общего образования 11-й класс;Программы среднего общего образования 12-й класс
1;Всего обучающихся, окончивших классы (сумма строк 02, 06);336898;36193;36774;36287;35552;35660;33679;33345;33128;32180;12574;11385;73;68
2;Численность обучающихся, окончивших данный класс – всего  (сумма строк 03–05);335914;36073;36686;36193;35482;35595;33630;33283;33082;31927;12532;11290;73;68
3;в том числе обучались:       очно;335181;36073;36685;36193;35478;35591;33616;33277;33070;31855;12194;11149;;
4;очно-заочно;718;;;;1;3;13;3;11;70;337;140;72;68
5;заочно;15;;1;;3;1;1;3;1;2;1;1;1;
6;Численность экстернов, окончивших данный класс;984;120;88;94;70;65;49;62;46;253;42;95;;
7;из них (из стр.06)  обучались:       в форме семейного образования;925;120;88;94;70;65;49;62;46;251;26;54;;
8;в форме самообразования;56;;;;;;;;;;16;40;;
9;по программам, не имеющим государственной аккредитации;1;;;;;;;;;1;;;;
