;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;Всего, человек;Из них (из графы 3) имеют образование: Высшее;Из них (из графы 3) имеют образование: из них (графы 4) педагогическое;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень кандидата наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание профессора;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание доцента;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки специалистов среднего звена;Из них (из графы 3) имеют образование: из них  (графы 10) педагогическое;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки квалифициро-ванных рабочих служащих;Из графы 3 имеют квалификационные категории высшую;Из графы 3 имеют квалификационные категории первую;Из графы 3 имеют квалификационные категории педагог-методист;Из графы 3 имеют квалификационные категории педагог-наставник;Из графы 3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 43, 44);38057;25323;21907;1;102;1;9;7227;2556;3120;6555;10694;12;4;32261;
2;в том числе:       руководящие работники – всего;2893;2794;2312;1;24;;1;82;11;6;;;;;2499;
3;из них:             директор;758;755;721;1;8;;1;3;3;;;;;;584;
4;заместители директора;1944;1890;1514;;14;;;47;2;3;;;;;1736;
5;руководитель филиала;44;41;35;;1;;;3;1;;;;;;36;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);23546;20461;19327;;78;1;8;2773;2460;32;6550;10683;12;4;21108;23178.8
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);19598;17494;16812;;69;1;7;1930;1791;12;6115;9297;9;4;17484;19278.7
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;5992;4776;4652;;1;;;1181;1159;1;1888;2819;1;;5976;5954.6
9;русского языка и литературы;2361;2287;2254;;11;1;;50;49;1;772;1138;1;1;2316;
10;языка народов России и литературы;4;3;3;;;;;1;1;;4;;;;4;
11;истории, экономики, права, обществознания;1299;1266;1222;;11;;;20;17;1;504;550;;;1062;
12;информатики;483;456;417;;1;;;23;18;1;201;207;2;;368;
13;физики;567;555;532;;11;;2;7;5;;235;227;1;;447;
14;математики;1863;1793;1726;;6;;1;38;33;1;480;955;2;;1755;
15;химии;435;427;411;;6;;1;1;1;;160;193;;;411;
16;географии;556;543;527;;3;;1;8;8;;159;307;1;1;507;
17;биологии;600;587;573;;5;;1;9;4;;231;268;1;1;569;
18;иностранных языков;2161;2084;2012;;9;;;59;54;;554;1041;;1;2057;
19;из них:                         английского языка;2027;1953;1881;;9;;;56;52;;496;976;;1;1930;
20;немецкого языка;89;85;84;;;;;3;2;;28;42;;;82;
21;французского языка;43;43;43;;;;;;;;26;13;;;42;
22;китайского языка;2;2;2;;;;;;;;;1;;;2;
23;физической культуры;1380;1163;1114;;1;;;201;185;4;399;696;;;606;
24;труда (технологии);880;745;629;;2;;;129;91;2;236;445;;;547;
25;музыки и пения;326;222;203;;1;;;102;85;1;102;137;;;304;
26;изобразительного искусства, черчения;228;181;168;;;;;45;37;;70;103;;;220;
27;основ безопасности и защиты Родины;184;170;150;;;;1;14;9;;64;82;;;62;
28;основ духовно-нравственной культуры народов России;5;5;4;;;;;;;;1;;;;5;
29;прочих предметов;274;231;215;;1;;;42;35;;55;129;;;268;
30;учителя-логопеды;352;330;312;;1;;;19;17;;55;127;;;352;338.8
31;учителя-дефектологи;208;191;179;;;;;14;12;;24;59;;;204;199
32;из них:                   олигофренопедагог;70;67;64;;;;;3;2;;7;25;;;68;68
33;тифлопедагог;4;4;4;;;;;;;;2;2;;;4;4
34;сурдопедагог;14;14;14;;;;;;;;3;5;;;14;14
35;социальные педагоги;408;337;275;;;;;69;58;1;46;194;;;400;391
36;педагоги дополнительного образования;284;215;157;;3;;;50;32;6;48;61;;;184;274
37;педагоги-психологи;600;565;529;;4;;1;28;22;;84;243;1;;588;571
38;воспитатели;861;475;396;;1;;;361;311;6;87;385;;;806;793.6
39;мастера производственного обучения;19;12;6;;;;;7;6;;2;4;;;13;16.6
40;тьюторы;196;133;108;;;;;52;41;;3;25;;;193;185.5
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;140;95;73;;;;;34;28;;4;10;1;;133;127.2
42;другие;880;614;480;;;;;209;142;7;82;278;1;;751;790.1
43;учебно-вспомогательный персонал;1347;610;152;;;;;457;39;153;5;10;;;1262;
44;иной персонал;10271;1458;116;;;;;3915;46;2929;;1;;;7392;
45;из них:             ассистент (помощник);18;6;3;;;;;6;1;2;;;;;16;12.5
46;сурдопереводчик;;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;;1
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;362;192;172;;;;;155;132;;29;168;;;360;
49;из них воспитатели;315;161;145;;;;;141;117;;26;144;;;315;
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;99;95;93;;;;;2;2;;22;52;;1;85;
51;из них учителя;95;91;90;;;;;2;2;;19;44;;1;81;
52;персонал, работающий в отдельных классах для             обучающихся с ограниченными возможностями здоровья;3448;2831;2544;;8;;1;474;402;6;723;1405;2;;2862;
53;из них учителя - всего;2383;2025;1849;;7;;1;243;205;2;598;1038;2;;1886;
54;из них учителя, осуществляющие деятельность по                    реализации программ начального общего образования;765;603;560;;;;;107;95;;165;307;1;;638;
55;персонал, получающий надбавки за работу с лицами с             ограниченными возможностями здоровья, находящимися             на совместном обучении;1771;1556;1504;;3;;1;125;106;;374;745;1;;1255;
56;Из общей численности учителей-дефектологов (строка 31 графа 3) - учителя, имеющие специальное дефектологическое образование;133;113;;;;;;;;;;;;;;
57;Справочно. Код по ОКЕИ: человек – 792  Численность руководителей (из стр. 02, гр. 03), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;2500;;;;;;;;;;;;;;;
58;из них директор;719;;;;;;;;;;;;;;;
59;Численность педагогических работников (из стр. 06, гр. 03), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;22406;;;;;;;;;;;;;;;
60;из них учителя;18885;;;;;;;;;;;;;;;
61;Кроме того (кроме стр. 01, гр. 03), численность медицинских работников (сумма строк 63, 64);70;;;;;;;;;;;;;;;
62;из них женщин;67;;;;;;;;;;;;;;;
63;в том числе:          врачи всех специальностей;10;;;;;;;;;;;;;;;
64;медицинские сестры;60;;;;;;;;;;;;;;;
65;Из строки 07 графы 3 численность учителей, использующих в учебном процессе персональные компьютеры;19089;;;;;;;;;;;;;;;
66;Из строки 06 графы 3 численность педагогических работников, осуществляющих классное руководство;15369;;;;;;;;;;;;;;;
67;в том числе:       осуществляющих классное руководство в одном классе;13940;;;;;;;;;;;;;;;
68;осуществляющих классное руководство в двух и более класса;1429;;;;;;;;;;;;;;;
