;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего (сумма граф 4 - 9);Из графы 3 – имеют общий стаж работы, лет до 3;Из графы 3 – имеют общий стаж работы, лет от 3 до 5;Из графы 3 – имеют общий стаж работы, лет от 5 до 10;Из графы 3 – имеют общий стаж работы, лет от 10 до 15;Из графы 3 – имеют общий стаж работы, лет от 15 до 20;Из графы 3 – имеют общий стаж работы, лет 20 и более;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);Из графы 10 – имеют педагогический стаж работы, лет до 3;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;Не имеют стажа педа- гогической работы
1;Численность работников – всего (сумма строк 02, 06, 43, 44);38057;2614;1377;2809;3401;3954;23902;26109;3072;1468;2656;2591;2361;13961;11948
2;в том числе:       руководящие работники – всего;2893;15;27;110;246;399;2096;2427;60;62;169;244;294;1598;466
3;из них:             директор;758;2;3;11;38;75;629;749;7;3;33;47;77;582;9
4;заместители директора;1944;11;21;91;195;293;1333;1602;49;56;132;187;211;967;342
5;руководитель филиала;44;;3;2;5;2;32;42;2;2;1;5;2;30;2
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);23546;2216;1083;2057;2257;2343;13590;23538;2974;1399;2477;2336;2058;12294;8
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);19598;1660;866;1648;1828;1865;11731;19598;2067;1053;1974;1916;1670;10918;
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;5992;582;322;512;450;464;3662;5992;677;377;580;462;427;3469;
9;русского языка и литературы;2361;166;89;140;175;187;1604;2361;211;98;161;190;168;1533;
10;языка народов России и литературы;4;;;;;;4;4;;;;;;4;
11;истории, экономики, права, обществознания;1299;107;64;118;121;122;767;1299;135;76;128;134;118;708;
12;информатики;483;31;20;46;74;77;235;483;42;22;56;82;68;213;
13;физики;567;31;13;23;51;50;399;567;39;17;30;53;47;381;
14;математики;1863;157;79;150;167;166;1144;1863;201;89;172;163;148;1090;
15;химии;435;29;19;23;34;43;287;435;34;26;29;28;40;278;
16;географии;556;37;15;35;51;49;369;556;44;19;43;61;37;352;
17;биологии;600;41;16;44;40;62;397;600;50;19;52;41;58;380;
18;иностранных языков;2161;261;104;243;330;324;899;2161;304;130;307;319;278;823;
19;из них:                         английского языка;2027;253;100;237;320;307;810;2027;296;122;294;308;266;741;
20;немецкого языка;89;6;2;5;9;11;56;89;6;4;10;10;8;51;
21;французского языка;43;1;1;1;1;6;33;43;1;3;3;1;4;31;
22;китайского языка;2;1;1;;;;;2;1;1;;;;;
23;физической культуры;1380;127;80;188;166;159;660;1380;162;94;213;184;148;579;
24;труда (технологии);880;25;18;48;86;72;631;880;67;45;105;101;62;500;
25;музыки и пения;326;29;15;16;27;26;213;326;41;13;23;28;21;200;
26;изобразительного искусства, черчения;228;12;7;18;18;21;152;228;20;13;24;17;13;141;
27;основ безопасности и защиты Родины;184;10;2;15;18;15;124;184;18;9;17;25;13;102;
28;основ духовно-нравственной культуры народов России;5;;;;;1;4;5;;;;;1;4;
29;прочих предметов;274;15;3;29;20;27;180;274;22;6;34;28;23;161;
30;учителя-логопеды;352;43;19;38;49;52;151;352;62;27;49;43;41;130;
31;учителя-дефектологи;208;33;19;27;31;28;70;207;51;32;29;26;20;49;1
32;из них:                   олигофренопедагог;70;13;8;9;10;9;21;70;16;15;12;7;7;13;
33;тифлопедагог;4;;;1;;1;2;4;;;1;;1;2;
34;сурдопедагог;14;;;;4;2;8;14;;;;4;2;8;
35;социальные педагоги;408;31;9;36;49;57;226;406;62;30;50;46;52;166;2
36;педагоги дополнительного образования;284;44;20;30;24;27;139;284;63;34;33;32;18;104;
37;педагоги-психологи;600;72;31;69;86;107;235;599;120;41;81;80;94;183;1
38;воспитатели;861;80;27;66;69;92;527;860;140;55;88;82;78;417;1
