;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);3213;1874;1848.9
2;в том числе:       руководящие работники – всего;5;5;3
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);1633;1121;895.9
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);1019;737;584.3
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;45;44;34.7
6;русского языка и литературы;72;67;44.6
7;языка народов России и литературы;;;
8;истории, экономики, права, обществознания;75;50;41.9
9;информатики;59;32;25.7
10;физики;93;61;56
11;математики;70;57;44.5
12;химии;67;60;31.3
13;географии;35;27;20.1
14;биологии;33;28;17.8
15;иностранных языков;128;112;76.7
16;из них:                      английского языка;114;98;71
17;немецкого языка;8;6;4.6
18;французского языка;4;4;1.2
19;китайского языка;1;1;0.3
20;физической культуры;105;29;74
21;труда (технологии);52;14;34.6
22;музыки и пения;71;63;35.9
23;изобразительного искусства, черчения;18;17;7.1
24;основ безопасности и защиты Родины;15;1;7.9
25;основ духовно-нравственной культуры народов России;1;1;0.3
26;прочих предметов;80;74;36.9
27;учителя-логопеды;64;64;35.6
28;учителя-дефектологи;35;35;20.8
29;из них:                олигофренопедагог;11;11;7.3
30;тифлопедагог;;;
31;сурдопедагог;;;
32;социальные педагоги;4;4;1.6
33;педагоги дополнительного образования;368;172;153
34;педагоги-психологи;35;32;16.7
35;воспитатели;22;17;14.7
36;мастера производственного обучения;;;
37;тьюторы;7;4;3.3
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;4;4;2.3
39;другие;75;52;37.4
40;учебно-вспомогательный персонал;83;41;47.3
41;иной персонал;1492;707;915.4
42;из них:             ассистент(помощник);5;5;2.6
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;10;9;4.3
46;из них воспитатели;4;3;1.5
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;9;6;4.1
48;из них учителя;6;4;2
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;77;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;11;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);64;;
53;из них женщин;54;;
54;в том числе:          врачи всех специальностей;34;;
55;медицинские сестры;30;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;779;;
