;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателя;Всего  (сумма граф 4 - 17);1-й класс;1-й класс первого года обучения;1-й класс второго года обучения;2-й класс;3-й класс;4-й класс;5-й класс;6-й класс;7-й класс;8-й класс;9-й класс;10-й класс;11-й класс;12-й класс
1;Число классов с нормативным сроком освоения программ 9 лет, ед.;189;11;;;11;17;19;24;26;29;26;26;;;
2;В них обучающихся, чел.;1327;46;;;60;107;152;162;183;203;203;211;;;
3;Число классов с нормативным сроком освоения программ 10 лет, ед.;14;;1;1;1;1;1;1;;1;2;1;4;;
4;В них обучающихся, чел.;124;;8;12;13;13;13;8;;13;8;15;21;;
5;Число классов с нормативным сроком освоения программ 11 лет, ед.;16;;;;;;;;1;;1;;7;7;
6;В них обучающихся, чел.;109;;;;;;;;4;;5;;53;47;
7;Число классов с нормативным сроком освоения программ 12 лет, ед.;52;3;;;3;5;5;5;6;5;6;8;1;2;3
8;В них обучающихся, чел.;432;20;;;14;34;48;66;62;47;67;62;4;3;5
9;Число классов с нормативным сроком освоения программ 13 лет, ед.;30;;3;3;2;6;4;3;3;3;1;1;1;;
10;В них обучающихся, чел.;129;;13;17;3;23;18;6;18;16;3;11;1;;
11;Итого классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями), ед. (сумма строк 01, 03, 05, 07, 09);301;14;4;4;17;29;29;33;36;38;36;36;13;9;3
12;"В них обучающихся, чел. (сумма строк 02, 04, 06, 08, 10;    сумма строк 13-15)";2121;66;21;29;90;177;231;242;267;279;286;299;79;50;5
13;в том числе обучаются:          очно;2063;66;21;29;87;171;227;236;265;267;281;288;78;46;1
14;очно-заочно;58;;;;3;6;4;6;2;12;5;11;1;4;4
15;заочно;;;;;;;;;;;;;;;
16;из них (из строки 12):       воспитанники (без приходящих учащихся);54;1;;;;4;6;6;8;6;13;8;2;;
17;девочки;817;30;3;12;32;62;98;85;107;106;109;120;34;17;2
18;лица с ограниченными возможностями здоровья;2121;66;21;29;90;177;231;242;267;279;286;299;79;50;5
19;из них (из строки 18):             инвалиды;13;;;;;;;;;;;1;7;3;2
20;дети-инвалиды;649;27;15;24;33;71;87;66;62;83;68;67;30;13;3
21;инвалиды (кроме учтенных в строке 19);;;;;;;;;;;;;;;
22;дети-инвалиды (кроме учтенных в строке 20);;;;;;;;;;;;;;;
23;дети-сироты и дети, оставшиеся без попечения родителей;207;2;1;;1;19;25;12;33;28;29;46;8;2;1
24;из них воспитанники (без приходящих учащихся);12;1;;;;;;;3;1;4;3;;;
25;обучающиеся иностранные граждане;3;;;;1;;;;;1;;1;;;
26;из них девочки;2;;;;1;;;;;1;;;;;
27;обучающиеся лица без гражданства;;;;;;;;;;;;;;;
