;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих  учебные предметы - всего;7536;166;3068;4302;7446;90;
2;из них:        русский язык;225;;148;77;225;;
3;литературное чтение;;;;;;;
4;родной язык и (или) государственный язык       республики Российской Федерации;;;;;;;
5;литературное чтение на родном языке;;;;;;;
6;окружающий мир;;;;;;;
7;математика;3023;;638;2385;3003;20;
8;изобразительное искусство;1;;;1;1;;
9;музыка;;;;;;;
10;труд (технология);;;;;;;
11;физическая культура;;;;;;;
12;литература;434;;6;428;434;;
13;родная литература;;;;;;;
14;иностранный язык;1728;166;1265;297;1728;;
15;из них:              английский;1602;166;1160;276;1602;;
16;немецкий;126;;105;21;126;;
17;французский;;;;;;;
18;испанский;;;;;;;
19;другие европейские языки;;;;;;;
20;китайский;;;;;;;
21;другие восточные языки;;;;;;;
22;информатика;753;;265;488;753;;
23;история;312;;;312;312;;
24;обществознание;2499;;15;2484;2409;90;
25;география;480;;;480;410;70;
26;физика;1026;;283;743;1026;;
27;химия;792;;312;480;792;;
28;биология;1315;;673;642;1315;;
29;основы безопасности и защиты Родины;28;;28;;28;;
