;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);605;391;340.3
2;в том числе:       руководящие работники – всего;8;6;5
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);289;227;128.7
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);191;150;91.3
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;22;22;17
6;русского языка и литературы;12;12;8.1
7;языка народов России и литературы;;;
8;истории, экономики, права, обществознания;15;9;8.4
9;информатики;14;9;5.6
10;физики;9;6;5.8
11;математики;22;16;17.1
12;химии;13;12;6.2
13;географии;3;1;1.2
14;биологии;4;4;3.5
15;иностранных языков;19;19;11.5
16;из них:                      английского языка;13;13;7.3
17;немецкого языка;2;2;1.1
18;французского языка;2;2;1.1
19;китайского языка;;;
20;физической культуры;17;11;11.2
21;труда (технологии);14;7;8.8
22;музыки и пения;9;9;5.2
23;изобразительного искусства, черчения;6;6;3.6
24;основ безопасности и защиты Родины;4;;2.2
25;основ духовно-нравственной культуры народов России;;;
26;прочих предметов;8;7;3.9
27;учителя-логопеды;17;17;10.7
28;учителя-дефектологи;5;5;2.3
29;из них:                олигофренопедагог;;;
30;тифлопедагог;;;
31;сурдопедагог;;;
32;социальные педагоги;;;0.5
33;педагоги дополнительного образования;40;22;17.3
34;педагоги-психологи;12;12;6
35;воспитатели;3;2;2.3
36;мастера производственного обучения;;;
37;тьюторы;3;3;1.2
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;1;1;0.5
39;другие;17;15;12.1
40;учебно-вспомогательный персонал;16;10;11.9
41;иной персонал;292;148;155.3
42;из них:             ассистент(помощник);1;1;1
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;9;8;4.2
46;из них воспитатели;1;1;
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;3;3;0.2
48;из них учителя;3;3;0.2
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;10;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;2;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);30;;
53;из них женщин;29;;
54;в том числе:          врачи всех специальностей;1;;
55;медицинские сестры;29;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;109;;
