;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);170;216;4328;4920
2;в том числе       инженерные;48;55;1235;1222
3;медицинские;22;15;557;365
4;космические;;;;
5;педагогические;13;34;177;679
6;аграрные;4;2;69;23
7;предпринимательские;;;;
8;кадетские;15;8;320;143
9;IT-классы;25;18;656;448
10;другие;43;84;1314;2040
