;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;Всего, человек;Из них (из графы 3) имеют образование: Высшее;Из них (из графы 3) имеют образование: из них (графы 4) педагогическое;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень кандидата наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание профессора;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание доцента;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки специалистов среднего звена;Из них (из графы 3) имеют образование: из них  (графы 10) педагогическое;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки квалифициро-ванных рабочих служащих;Из графы 3 имеют квалификационные категории высшую;Из графы 3 имеют квалификационные категории первую;Из графы 3 имеют квалификационные категории педагог-методист;Из графы 3 имеют квалификационные категории педагог-наставник;Из графы 3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 43, 44);43149;25640;22917;2;97;1;9;9164;4159;3378;10094;6837;12;43;35596;
2;в том числе:       руководящие работники – всего;2474;2381;2170;;18;;3;73;41;6;889;360;1;6;2133;
3;из них:             директор;929;905;857;;9;;1;10;8;;398;163;;;715;
4;заместители директора;1429;1343;1211;;7;;1;56;29;6;446;164;1;6;1329;
5;руководитель филиала;23;22;17;;1;;;1;;;2;3;;;19;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);25996;21305;20313;2;76;1;6;4264;3902;47;9170;6446;11;37;23090;20602.5
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);20840;17615;17029;1;48;;2;2976;2794;25;8147;5377;9;34;18383;16650.4
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;6208;4642;4590;;1;;;1511;1482;5;2433;1701;3;13;6178;5133.7
9;русского языка и литературы;2515;2357;2321;;11;;1;140;135;1;1160;584;2;2;2472;
10;языка народов России и литературы;1;1;1;;;;;;;;;;;;1;
11;истории, экономики, права, обществознания;1369;1293;1243;;5;;;60;57;;537;334;2;3;1096;
12;информатики;608;553;506;;1;;;48;29;;242;161;;;426;
13;физики;668;628;597;1;2;;;24;19;1;264;171;1;2;491;
14;математики;2042;1933;1873;;3;;;85;80;;803;533;;6;1916;
15;химии;452;432;408;;7;;;18;13;;219;93;1;1;425;
16;географии;650;610;593;;;;;35;35;;289;165;;3;582;
17;биологии;638;590;569;;9;;1;41;39;;283;151;;1;598;
18;иностранных языков;2194;2042;1966;;6;;;120;117;2;755;633;;1;2093;
19;из них:                         английского языка;1851;1720;1621;;5;;;86;81;2;612;503;;1;1764;
20;немецкого языка;274;238;231;;;;;30;28;;98;94;;;261;
21;французского языка;50;50;50;;;;;;;;26;9;;;50;
22;китайского языка;12;11;10;;;;;;;;;;;;9;
23;физической культуры;1419;954;915;;;;;433;406;4;523;362;;1;642;
24;труда (технологии);862;649;596;;1;;;197;158;7;271;236;;;556;
25;музыки и пения;354;239;227;;;;;113;95;1;120;71;;;332;
26;изобразительного искусства, черчения;308;252;231;;;;;54;49;1;107;61;;;292;
27;основ безопасности и защиты Родины;314;251;215;;1;;;58;48;2;71;79;;1;70;
28;основ духовно-нравственной культуры народов России;20;13;13;;;;;4;4;;3;5;;;16;
29;прочих предметов;218;176;165;;1;;;35;28;1;67;37;;;197;
30;учителя-логопеды;500;482;466;;;;;15;15;;144;125;1;;499;391.9
31;учителя-дефектологи;183;172;168;;;;;9;9;;29;44;;;181;134.2
32;из них:                   олигофренопедагог;34;30;30;;;;;3;3;;8;5;;;34;25
33;тифлопедагог;1;1;1;;;;;;;;1;;;;1;2
34;сурдопедагог;1;;;;;;;;;;;;;;1;
35;социальные педагоги;426;355;325;;;;;67;56;1;75;78;;;412;312.2
36;педагоги дополнительного образования;422;279;221;;;;;104;76;2;80;44;;1;280;314
37;педагоги-психологи;650;611;561;;1;;;31;27;;148;120;;;611;469.1
38;воспитатели;1578;771;722;;;;;736;673;12;339;463;;;1530;1066.9
39;мастера производственного обучения;10;5;3;;;;;5;4;;2;3;;;5;12.7
40;тьюторы;237;186;156;;1;;;47;39;1;9;26;;;211;154
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;192;160;146;;;;;31;27;;29;27;;;176;139.4
42;другие;958;669;516;1;26;1;4;243;182;6;168;139;1;2;802;617.8
43;учебно-вспомогательный персонал;2424;838;268;;2;;;870;110;308;19;30;;;2033;
44;иной персонал;12255;1116;166;;1;;;3957;106;3017;16;1;;;8340;
45;из них:             ассистент (помощник);30;3;1;;;;;7;;13;;;;;24;29.7
46;сурдопереводчик;1;;;;;;;;;1;;;;;1;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;;3
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;1278;619;587;;;;;548;485;10;246;343;;1;1270;
49;из них воспитатели;1112;489;458;;;;;516;449;10;190;301;;1;1107;
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;173;155;147;;;;;11;9;;61;42;;;126;
51;из них учителя;163;145;140;;;;;11;9;;55;33;;;118;
52;персонал, работающий в отдельных классах для             обучающихся с ограниченными возможностями здоровья;197;149;145;;;;;31;28;3;59;33;;;133;
53;из них учителя - всего;98;71;69;;;;;22;19;;30;22;;;76;
54;из них учителя, осуществляющие деятельность по                    реализации программ начального общего образования;15;9;9;;;;;6;6;;4;6;;;15;
55;персонал, получающий надбавки за работу с лицами с             ограниченными возможностями здоровья, находящимися             на совместном обучении;3993;2785;2675;;2;;;486;445;3;1133;711;;;2557;
56;Из общей численности учителей-дефектологов (строка 31 графа 3) - учителя, имеющие специальное дефектологическое образование;70;44;;;;;;;;;;;;;;
57;Справочно. Код по ОКЕИ: человек – 792  Численность руководителей (из стр. 02, гр. 03), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;2123;;;;;;;;;;;;;;;
58;из них директор;851;;;;;;;;;;;;;;;
59;Численность педагогических работников (из стр. 06, гр. 03), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;23320;;;;;;;;;;;;;;;
60;из них учителя;18363;;;;;;;;;;;;;;;
61;Кроме того (кроме стр. 01, гр. 03), численность медицинских работников (сумма строк 63, 64);155;;;;;;;;;;;;;;;
62;из них женщин;149;;;;;;;;;;;;;;;
63;в том числе:          врачи всех специальностей;42;;;;;;;;;;;;;;;
64;медицинские сестры;113;;;;;;;;;;;;;;;
65;Из строки 07 графы 3 численность учителей, использующих в учебном процессе персональные компьютеры;18840;;;;;;;;;;;;;;;
66;Из строки 06 графы 3 численность педагогических работников, осуществляющих классное руководство;15997;;;;;;;;;;;;;;;
67;в том числе:       осуществляющих классное руководство в одном классе;14016;;;;;;;;;;;;;;;
68;осуществляющих классное руководство в двух и более класса;1981;;;;;;;;;;;;;;;
