;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего (сумма граф 4 - 9);Из графы 3 – имеют общий стаж работы, лет до 3;Из графы 3 – имеют общий стаж работы, лет от 3 до 5;Из графы 3 – имеют общий стаж работы, лет от 5 до 10;Из графы 3 – имеют общий стаж работы, лет от 10 до 15;Из графы 3 – имеют общий стаж работы, лет от 15 до 20;Из графы 3 – имеют общий стаж работы, лет 20 и более;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);Из графы 10 – имеют педагогический стаж работы, лет до 3;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;Не имеют стажа педа- гогической работы
1;Численность работников – всего (сумма строк 02, 06, 43, 44);43149;2949;1786;3823;4867;5320;24404;28423;2971;1768;3243;3280;2891;14270;14726
2;в том числе:       руководящие работники – всего;2474;21;18;92;202;329;1812;2295;39;45;166;242;277;1526;179
3;из них:             директор;929;8;3;28;58;86;746;921;15;13;63;76;81;673;8
4;заместители директора;1429;10;14;56;134;233;982;1321;21;31;95;151;192;831;108
5;руководитель филиала;23;2;;2;4;5;10;18;2;;;4;4;8;5
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);25996;2316;1212;2409;2905;2924;14230;25511;2838;1666;2994;2965;2547;12501;485
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);20840;1775;940;1818;2150;2193;11964;20557;1992;1188;2232;2240;2002;10903;283
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;6208;528;294;511;567;613;3695;6127;552;331;594;585;611;3454;81
9;русского языка и литературы;2515;180;98;162;224;253;1598;2492;206;113;201;235;220;1517;23
10;языка народов России и литературы;1;;;;;;1;1;;;;;;1;
11;истории, экономики, права, обществознания;1369;127;63;135;141;123;780;1343;130;80;169;147;106;711;26
12;информатики;608;54;36;78;95;77;268;604;70;44;96;99;67;228;4
13;физики;668;41;21;36;59;42;469;658;47;28;48;60;42;433;10
14;математики;2042;177;73;160;190;196;1246;2013;182;99;205;195;179;1153;29
15;химии;452;32;11;30;36;39;304;449;35;22;37;35;36;284;3
16;географии;650;31;27;41;52;56;443;647;37;34;52;50;60;414;3
17;биологии;638;56;22;48;64;62;386;629;64;26;67;63;49;360;9
18;иностранных языков;2194;220;122;267;350;342;893;2156;220;158;317;353;292;816;38
19;из них:                         английского языка;1851;205;113;239;308;292;694;1814;201;143;283;309;249;629;37
20;немецкого языка;274;6;7;24;33;36;168;274;10;10;30;34;31;159;
21;французского языка;50;2;1;2;7;12;26;50;2;1;2;8;12;25;
22;китайского языка;12;7;1;2;;1;1;11;7;3;1;;;;1
23;физической культуры;1419;158;86;175;191;158;651;1390;187;108;196;201;139;559;29
24;труда (технологии);862;46;31;65;81;94;545;856;87;56;119;99;88;407;6
25;музыки и пения;354;43;24;23;20;44;200;348;46;25;33;25;34;185;6
26;изобразительного искусства, черчения;308;28;14;18;35;33;180;304;41;19;25;32;29;158;4
27;основ безопасности и защиты Родины;314;30;12;43;25;32;172;309;61;23;49;39;27;110;5
28;основ духовно-нравственной культуры народов России;20;6;3;;1;2;8;17;4;4;;1;1;7;3
29;прочих предметов;218;18;3;26;19;27;125;214;23;18;24;21;22;106;4
30;учителя-логопеды;500;30;20;56;71;96;227;497;48;36;84;70;85;174;3
31;учителя-дефектологи;183;20;12;46;29;26;50;180;27;23;46;26;20;38;3
32;из них:                   олигофренопедагог;34;3;1;7;8;3;12;33;4;2;10;7;2;8;1
33;тифлопедагог;1;;;;;;1;1;;;;;;1;
34;сурдопедагог;1;;;;;;1;1;;;1;;;;
35;социальные педагоги;426;26;16;54;62;70;198;410;70;42;65;48;41;144;16
36;педагоги дополнительного образования;422;88;27;36;43;36;192;397;111;39;42;39;26;140;25
37;педагоги-психологи;650;102;48;100;112;91;197;622;140;74;106;97;68;137;28
38;воспитатели;1578;103;66;157;266;241;745;1550;195;126;228;266;198;537;28
39;мастера производственного обучения;10;;;;;1;9;10;1;;1;1;;7;
40;тьюторы;237;41;21;38;35;25;77;218;76;35;35;31;6;35;19
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;192;39;19;32;31;37;34;183;48;29;29;31;21;25;9
42;другие;958;92;43;72;106;108;537;887;130;74;126;116;80;361;71
43;учебно-вспомогательный персонал;2424;168;103;241;338;389;1185;418;62;36;62;51;54;153;2006
44;иной персонал;12255;444;453;1081;1422;1678;7177;199;32;21;21;22;13;90;12056
45;из них:             ассистент (помощник);30;3;;3;4;2;18;1;;;;;;1;29
46;сурдопереводчик;1;;;;;;1;;;;;;;;1
47;тифлосурдопереводчик;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;1278;78;52;134;231;215;568;1258;161;108;190;222;170;407;20
49;из них воспитатели;1112;69;50;121;208;180;484;1092;138;97;171;204;144;338;20
