;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);4325;2643;1176
2;в том числе:       руководящие работники – всего;35;28;14
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);2706;1945;706
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);1572;1150;444.4
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;72;72;28
6;русского языка и литературы;106;101;43.9
7;языка народов России и литературы;;;0.2
8;истории, экономики, права, обществознания;99;79;27.8
9;информатики;93;47;25.8
10;физики;123;79;50.3
11;математики;133;113;43.2
12;химии;116;98;29
13;географии;47;40;14.7
14;биологии;71;57;24.8
15;иностранных языков;212;190;72.6
16;из них:                      английского языка;156;140;57
17;немецкого языка;37;32;14.8
18;французского языка;3;3;2
19;китайского языка;3;2;1.5
20;физической культуры;139;43;40.6
21;труда (технологии);68;34;32
22;музыки и пения;78;66;20.6
23;изобразительного искусства, черчения;36;33;6.5
24;основ безопасности и защиты Родины;42;8;14.1
25;основ духовно-нравственной культуры народов России;3;2;
26;прочих предметов;134;88;48.3
27;учителя-логопеды;61;60;15.6
28;учителя-дефектологи;22;22;3.7
29;из них:                олигофренопедагог;;;
30;тифлопедагог;;;
31;сурдопедагог;;;1
32;социальные педагоги;17;15;6
33;педагоги дополнительного образования;308;193;68.6
34;педагоги-психологи;68;64;25.9
35;воспитатели;44;25;15
36;мастера производственного обучения;2;1;
37;тьюторы;20;16;4.5
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;12;10;5.2
39;другие;580;389;94.2
40;учебно-вспомогательный персонал;400;192;116.5
41;иной персонал;1184;478;341.6
42;из них:             ассистент(помощник);1;1;
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;26;24;8.6
46;из них воспитатели;8;8;1.9
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;7;5;3.8
48;из них учителя;7;5;3.5
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;81;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;5;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);66;;
53;из них женщин;61;;
54;в том числе:          врачи всех специальностей;27;;
55;медицинские сестры;39;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;926;;
