;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование образовательных программ;Численность обучающихся по образовательным программам - всего, чел;Сетевая форма реализации образовательных программ численность обучающихся (из графы 3) по программам, реализуемым с использованием сетевой формы - всего, чел;Сетевая форма реализации образовательных программ число органи-заций, с которыми заключены дого-воры на реализа-цию образователь-ных программ с использованием сетевой формы, единиц , ед;Электронное обучение численность обучающихся (из графы 3) с применением электронного обучения , чел;Электронное обучение в том числе (из графы 6) с применением исключительно электронного обучения, чел;Дистанционные образовательные технологии численность обучающихся (из графы 3) с применением дистанционных образовательных технологий, чел;Дистанционные образовательные технологии в том числе (из графы 8) с применением исключительно дистанционных образовательных технологий, чел
1;Всего по образовательным программам (сумма строк 02, 12, 22, 32);236599;21048;;54900;;3450;12
2;Образовательные программы начального общего образования;94231;5379;39;19363;;705;
3;из них адаптированные;2234;37;3;375;;7;
4;в том числе:           для глухих;26;;;26;;;
5;для слабослышащих и позднооглохших;86;;;1;;;
6;для слепых;15;;;;;;
7;для слабовидящих;89;;;2;;;
8;с тяжелыми нарушениями речи;369;1;;177;;;
9;с нарушениями опорно-двигательного аппарата;218;3;1;35;;3;
10;с задержкой психического развития;1403;33;2;131;;4;
11;с расстройствами аутистического спектра;28;;;3;;;
12;Образовательные программы основного общего образования;118933;10338;245;30332;;2309;7
13;из них адаптированные;1471;19;3;389;;24;4
14;в том числе:           для глухих;26;;;24;;;
15;для слабослышащих и позднооглохших;108;;;2;;;
16;для слепых;8;;;2;;;
17;для слабовидящих;105;;;67;;2;
18;с тяжелыми нарушениями речи;193;5;;126;;3;
19;с нарушениями опорно-двигательного аппарата;158;4;1;40;;6;2
20;с задержкой психического развития;871;10;2;128;;13;2
21;с расстройствами аутистического спектра;2;;;;;;
22;Образовательные программы среднего общего образования;16919;5265;324;4150;;393;5
23;из них адаптированные;53;;;18;;2;1
24;в том числе:           для глухих;;;;;;;
25;для слабослышащих и позднооглохших;14;;;;;;
26;для слепых;3;;;3;;;
27;для слабовидящих;14;;;11;;;
28;с тяжелыми нарушениями речи;;;;;;;
29;с нарушениями опорно-двигательного аппарата;20;;;4;;2;1
30;с задержкой психического развития;2;;;;;;
31;с расстройствами аутистического спектра;;;;;;;
32;Программы образования обучающихся с умственной отсталостью (интеллектуальными нарушениями);6516;66;3;1055;;43;
33;Справочно. Код по ОКЕИ: человек – 792  Из общей численности обучающихся (из графы 3 подраздела 1.3.) – лица, имеющие кохлеарные импланты и обучающиеся по программам:    начального общего образования (из строки 02);22;;;;;;
34;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;18;;;;;;
35;основного общего образования (из строки 12);18;;;;;;
36;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;15;;;;;;
37;среднего общего образования (из строки 22);3;;;;;;
38;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;3;;;;;;
39;образования обучающихся с умственной отсталостью    (интеллектуальными нарушениями) (из строки 32);;;;;;;
40;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;;;;;;;
