;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателя;Всего  (сумма граф 4 - 17);1-й класс;1-й класс первого года обучения;1-й класс второго года обучения;2-й класс;3-й класс;4-й класс;5-й класс;6-й класс;7-й класс;8-й класс;9-й класс;10-й класс;11-й класс;12-й класс
1;Число классов с нормативным сроком освоения программ 9 лет, ед.;743;32;;;59;67;76;96;94;108;104;107;;;
2;В них обучающихся, чел.;3086;115;;;198;261;286;381;386;449;479;531;;;
3;Число классов с нормативным сроком освоения программ 10 лет, ед.;63;;6;9;8;8;7;5;4;6;4;3;3;;
4;В них обучающихся, чел.;448;;46;57;43;58;37;36;30;55;33;25;28;;
5;Число классов с нормативным сроком освоения программ 11 лет, ед.;1;;;;;;;;;;;;;1;
6;В них обучающихся, чел.;1;;;;;;;;;;;;;1;
7;Число классов с нормативным сроком освоения программ 12 лет, ед.;65;5;;;2;6;5;7;8;6;7;5;10;;4
8;В них обучающихся, чел.;734;42;;;24;72;67;83;74;84;71;80;86;;51
9;Число классов с нормативным сроком освоения программ 13 лет, ед.;74;;10;8;7;6;6;6;3;7;5;7;8;;1
10;В них обучающихся, чел.;971;;100;91;80;85;91;96;37;108;81;97;99;;6
11;Итого классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями), ед. (сумма строк 01, 03, 05, 07, 09);946;37;16;17;76;87;94;114;109;127;120;122;21;1;5
12;"В них обучающихся, чел. (сумма строк 02, 04, 06, 08, 10;    сумма строк 13-15)";5240;157;146;148;345;476;481;596;527;696;664;733;213;1;57
13;в том числе обучаются:          очно;5232;157;146;148;345;476;481;596;527;696;664;733;205;1;57
14;очно-заочно;;;;;;;;;;;;;;;
15;заочно;8;;;;;;;;;;;;8;;
16;из них (из строки 12):       воспитанники (без приходящих учащихся);580;19;;3;38;61;62;76;74;87;82;70;7;;1
17;девочки;1768;72;45;48;107;165;147;211;168;260;206;248;72;;19
18;лица с ограниченными возможностями здоровья;5240;157;146;148;345;476;481;596;527;696;664;733;213;1;57
19;из них (из строки 18):             инвалиды;152;;;;;;;7;1;8;13;20;56;1;46
20;дети-инвалиды;2682;88;129;124;172;260;241;286;232;343;304;365;130;;8
21;инвалиды (кроме учтенных в строке 19);;;;;;;;;;;;;;;
22;дети-инвалиды (кроме учтенных в строке 20);;;;;;;;;;;;;;;
23;дети-сироты и дети, оставшиеся без попечения родителей;383;5;8;12;11;23;41;43;40;63;49;72;14;;2
24;из них воспитанники (без приходящих учащихся);50;2;;;2;3;5;6;7;10;6;8;1;;
25;обучающиеся иностранные граждане;2;;;;;;;1;;;1;;;;
26;из них девочки;;;;;;;;;;;;;;;
27;обучающиеся лица без гражданства;;;;;;;;;;;;;;;
