;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13
№ строки;Наименование показателей;"Всего  (сумма граф 4–9; сумма граф 11-13)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования (1–4 классы);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования (5–9 классы);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования (10–11(12) классы);Классы для обучающихся с ограниченными возможностями здоровья, кроме классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями) программы начального общего образования;Классы для обучающихся с ограниченными возможностями здоровья, кроме классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями) программы основного общего образования;Классы для обучающихся с ограниченными возможностями здоровья, кроме классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями) программы среднего общего образования;Из граф 3 изучают 2-й, 3-й и более иностранные языки;Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, которым в соответствии с образовательной про-граммой должны преподаваться иностранные языки (сумма строк 02, 16);209027;72962;118482;16893;278;386;26;;207622;1083;322
2;В том числе обучающиеся, которым:       преподается иностранный язык;208707;72962;118188;16867;278;386;26;;207302;1083;322
3;из них преподается язык:             английский;193465;68335;108928;15587;252;337;26;252;192100;1055;310
4;французский;1355;57;1039;184;26;49;;926;1347;;8
5;немецкий;17176;4550;11329;1297;;;;2131;17144;28;4
6;итальянский;;;;;;;;;;;
7;испанский;12;;12;;;;;12;12;;
8;китайский;237;20;217;;;;;217;237;;
9;арабский;;;;;;;;;;;
10;португальский;;;;;;;;;;;
11;турецкий;;;;;;;;;;;
12;корейский;;;;;;;;;;;
13;японский;;;;;;;;;;;
14;иврит;;;;;;;;;;;
15;другие;;;;;;;;;;;
16;не преподается иностранный язык;320;;294;26;;;;;320;;
17;из строки 16 – из-за отсутствия учителя иностранного языка;320;;294;26;;;;;320;;
18;Из строки 02 – изучают:             2 иностранных языка;3538;;3337;201;;;;;3538;;
19;3 и более иностранных языка;;;;;;;;;;;
