;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих  учебные предметы - всего;28830;970;11211;16649;28335;374;121
2;из них:        русский язык;927;;722;205;919;;8
3;литературное чтение;;;;;;;
4;родной язык и (или) государственный язык       республики Российской Федерации;;;;;;;
5;литературное чтение на родном языке;;;;;;;
6;окружающий мир;;;;;;;
7;математика;14031;505;3917;9609;13887;96;48
8;изобразительное искусство;437;80;319;38;437;;
9;музыка;;;;;;;
10;труд (технология);;;;;;;
11;физическая культура;;;;;;;
12;литература;1931;;408;1523;1749;142;40
13;родная литература;;;;;;;
14;иностранный язык;3338;639;1950;749;3338;;
15;из них:              английский;2933;530;1673;730;2933;;
16;немецкий;272;109;156;7;272;;
17;французский;133;;121;12;133;;
18;испанский;;;;;;;
19;другие европейские языки;;;;;;;
20;китайский;;;;;;;
21;другие восточные языки;;;;;;;
22;информатика;5798;;3239;2559;5797;;1
23;история;2622;;327;2295;2618;4;
24;обществознание;9979;;158;9821;9543;360;76
25;география;1095;;394;701;936;127;32
26;физика;4673;;1618;3055;4669;;4
27;химия;2269;;829;1440;2267;;2
28;биология;4543;;2057;2486;4501;11;31
29;основы безопасности и защиты Родины;;;;;;;
