;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
№ строки;Наименование показателей;Общая численность обучающихся (сумма граф  4, 7, 10, 13);Численность обучающихся по программам начального общего образования – всего;Численность обучающихся по программам из графы 4 девочки;Численность обучающихся по программам из графы 4 обучающиеся 1-го класса или 1-го класса первого года обучения  по пролонги-рованным программам;Численность обучающихся по программам основного общего образования – всего;Численность обучающихся по программам из графы 7 девочки;Численность обучающихся по программам из графы 7 обучающиеся 5-го класса или 5-го класса первого года обучения  по пролонги- рованным программам;Численность обучающихся по программам среднего общего образования – всего;Численность обучающихся по программам из графы 10 девочки;Численность обучающихся по программам из графы 10 обучающиеся 10-го класса  или 10-го класса первого года обучения  по пролонги-рованным программам;Численность обучающихся по программам образование обучающихся с умственной отсталостью (интеллекту-альными нарушениями);Численность обучающихся по программам из графы 13 девочки;Численность обучающихся по программам из графы 13 обучающиеся первого года обучения;из них (из графы 3) обучающиеся по очно-заочной и заочной формам обучения*;из них (из графы 3) обучающиеся иностранные граждане;из них (из графы 3) из них (из гр. 17) девочки;из них (из графы 3) обучающиеся лица без гражданства
1;Всего;6663;946;269;171;451;127;100;26;13;16;5240;1768;303;8;4;1;
2;В том числе в возрасте (число полных лет на 1 января следующего календарного года):    5 лет;;;;;;;;;;;;;;;;;
3;6 лет;4;;;;;;;;;;4;1;4;;;;
4;7 лет;148;78;17;76;;;;;;;70;26;66;;;;
5;8 лет;457;180;59;75;;;;;;;277;93;175;;;;
6;9 лет;559;198;57;18;;;;;;;361;124;44;;1;;
7;10 лет;712;233;56;1;;;;;;;479;158;9;;;;
8;11 лет;741;179;54;1;11;6;11;;;;551;186;1;;;;
9;12 лет;764;67;21;;70;13;50;;;;627;222;;;1;;
10;13 лет;708;7;2;;91;24;33;;;;610;204;1;;;;
11;14 лет;765;3;2;;90;19;6;;;;672;218;;;;;
12;15 лет;767;;;;82;32;;;;;685;226;;;1;;
13;16 лет;534;;;;62;23;;10;5;10;462;155;;7;;;
14;17 лет;253;;;;22;1;;4;1;4;227;79;;1;;;
15;18 лет;120;;;;17;7;;7;4;1;96;38;;;;;
16;19 лет;55;;;;3;;;4;2;;48;18;;;;;
17;20 лет;36;;;;2;1;;1;1;1;33;8;1;;;;
18;21 год;17;;;;1;1;;;;;16;2;;;;;
19;22 года;7;;;;;;;;;;7;3;;;;;
20;23 года;5;;;;;;;;;;5;3;;;;;
21;24 года;5;;;;;;;;;;5;2;1;;;;
22;25 лет;2;;;;;;;;;;2;;;;;;
23;26 лет;1;;;;;;;;;;1;;;;;;
24;27 лет;;;;;;;;;;;;;;;;;
25;28 лет;;;;;;;;;;;;;;;;;
26;29 лет;1;;;;;;;;;;1;1;1;;;;
27;30–34 года;1;;;;;;;;;;1;1;;;;;
28;35–39 лет;1;1;1;;;;;;;;;;;;1;1;
29;40 лет и старше;;;;;;;;;;;;;;;;;
*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05
