;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);1642;998;
2;в том числе:       руководящие работники – всего;10;10;
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);955;733;579.8
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);733;580;445
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;15;15;12.6
6;русского языка и литературы;76;75;38.2
7;языка народов России и литературы;;;
8;истории, экономики, права, обществознания;52;43;23.7
9;информатики;39;29;24.8
10;физики;59;38;38.9
11;математики;78;71;47.3
12;химии;35;30;22.5
13;географии;22;18;13.6
14;биологии;29;26;13.1
15;иностранных языков;79;71;44.8
16;из них:                      английского языка;62;56;33.4
17;немецкого языка;15;14;10.8
18;французского языка;2;1;0.6
19;китайского языка;;;
20;физической культуры;52;11;38.3
21;труда (технологии);27;6;14.4
22;музыки и пения;24;21;19.1
23;изобразительного искусства, черчения;9;9;5.4
24;основ безопасности и защиты Родины;8;1;5.8
25;основ духовно-нравственной культуры народов России;;;
26;прочих предметов;129;116;82.5
27;учителя-логопеды;7;7;5
28;учителя-дефектологи;3;3;1.4
29;из них:                олигофренопедагог;2;2;0.9
30;тифлопедагог;;;
31;сурдопедагог;;;
32;социальные педагоги;2;2;1.5
33;педагоги дополнительного образования;145;84;84.6
34;педагоги-психологи;15;15;7.4
35;воспитатели;3;2;2.4
36;мастера производственного обучения;;;
37;тьюторы;12;7;9
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;4;4;2
39;другие;31;29;23.5
40;учебно-вспомогательный персонал;55;43;
41;иной персонал;622;212;
42;из них:             ассистент(помощник);;;
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;9;9;4.5
46;из них воспитатели;1;1;0.5
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;101;93;23.3
48;из них учителя;101;93;23.3
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;11;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;3;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);23;;
53;из них женщин;19;;
54;в том числе:          врачи всех специальностей;2;;
55;медицинские сестры;21;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;703;;
