;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих  учебные предметы - всего;19627;;6603;13024;19346;198;83
2;из них:        русский язык;24;;2;22;24;;
3;литературное чтение;;;;;;;
4;родной язык и (или) государственный язык       республики Российской Федерации;28;;;28;28;;
5;литературное чтение на родном языке;;;;;;;
6;окружающий мир;;;;;;;
7;математика;12591;;4146;8445;12538;53;
8;изобразительное искусство;;;;;;;
9;музыка;6;;;6;6;;
10;труд (технология);;;;;;;
11;физическая культура;;;;;;;
12;литература;939;;;939;916;23;
13;родная литература;28;;;28;28;;
14;иностранный язык;1469;;936;533;1469;;
15;из них:              английский;1176;;674;502;1176;;
16;немецкий;293;;262;31;293;;
17;французский;;;;;;;
18;испанский;;;;;;;
19;другие европейские языки;;;;;;;
20;китайский;;;;;;;
21;другие восточные языки;;;;;;;
22;информатика;2326;;626;1700;2326;;
23;история;1611;;;1611;1611;;
24;обществознание;7400;;6;7394;7145;172;83
25;география;467;;;467;236;148;83
26;физика;3113;;791;2322;3113;;
27;химия;2362;;640;1722;2362;;
28;биология;2643;;673;1970;2643;;
29;основы безопасности и защиты Родины;;;;;;;
