;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего  (сумма граф 4 - 17);1-й класс;1-й класс первого года обучения;1-й класс второго года обучения;2-й класс;3-й класс;4-й класс;5-й класс;6-й класс;7-й класс;8-й класс;9-й класс;10-й класс;11-й класс;12-й класс
1;Всего обучающихся, окончивших классы (сумма строк 02, 11);2446;88;35;50;207;251;223;250;437;250;214;323;116;2;
2;Численность обучающихся, окончивших данный класс – всего  (сумма строк 03–05) (сумма строк 06–10);2425;88;35;47;203;250;222;248;433;247;214;322;116;;
3;в том числе (из строки 02) обучались:       очно;2412;88;34;47;203;249;222;244;429;247;213;320;116;;
4;очно-заочно;13;;1;;;1;;4;4;;1;2;;;
5;заочно;;;;;;;;;;;;;;;
6;в том числе (из строки 02)  по программам с нормативным    сроком освоения:       9 лет;1833;88;;;141;157;163;188;386;192;213;305;;;
7;10 лет;568;;35;47;61;84;58;56;46;50;;15;116;;
8;11 лет;8;;;;;8;;;;;;;;;
9;12 лет;10;;;;1;;1;1;;4;1;2;;;
10;13 лет;6;;;;;1;;3;1;1;;;;;
11;Численность экстернов, окончивших данный класс (сумма строк 12–16);21;;;3;4;1;1;2;4;3;;1;;2;
12;в том числе по программам с нормативным сроком освоения:       9 лет;10;;;;1;1;1;;4;2;;1;;;
13;10 лет;9;;;3;3;;;2;;1;;;;;
14;11 лет;;;;;;;;;;;;;;;
15;12 лет;2;;;;;;;;;;;;;2;
16;13 лет;;;;;;;;;;;;;;;
17;Из строки 11 – обучались:       в форме семейного образования;11;;;;1;1;1;;4;1;;1;;2;
18;по программам, не имеющим государственной аккредитации;;;;;;;;;;;;;;;
