;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего (сумма граф 4 - 9);Из графы 3 – имеют общий стаж работы, лет до 3;Из графы 3 – имеют общий стаж работы, лет от 3 до 5;Из графы 3 – имеют общий стаж работы, лет от 5 до 10;Из графы 3 – имеют общий стаж работы, лет от 10 до 15;Из графы 3 – имеют общий стаж работы, лет от 15 до 20;Из графы 3 – имеют общий стаж работы, лет 20 и более;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);Из графы 10 – имеют педагогический стаж работы, лет до 3;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;Не имеют стажа педа- гогической работы
1;Численность работников – всего (сумма строк 02, 06, 43, 44);30137;1969;1316;2713;3178;3346;17615;19261;1741;1058;1973;1857;1717;10915;10876
2;в том числе:       руководящие работники – всего;2165;33;37;125;216;264;1490;1921;41;46;131;200;215;1288;244
3;из них:             директор;777;5;7;24;49;73;619;774;5;11;31;59;68;600;3
4;заместители директора;1342;27;29;98;160;186;842;1107;35;34;98;136;143;661;235
5;руководитель филиала;37;1;1;1;4;4;26;37;1;1;1;4;4;26;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);17259;1545;901;1646;1647;1606;9914;17060;1664;988;1810;1620;1473;9505;199
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);14911;1238;742;1324;1338;1315;8954;14759;1273;787;1442;1332;1228;8697;152
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;4600;444;263;390;343;326;2834;4547;424;278;420;335;311;2779;53
9;русского языка и литературы;1867;114;84;127;151;128;1263;1849;115;84;136;150;118;1246;18
10;языка народов России и литературы;21;;;1;;1;19;21;;;1;;1;19;
11;истории, экономики, права, обществознания;1017;103;58;119;111;95;531;1006;100;66;127;108;91;514;11
12;информатики;349;25;6;51;46;61;160;343;23;6;56;45;60;153;6
13;физики;442;18;21;23;17;45;318;440;20;24;25;21;43;307;2
14;математики;1483;103;67;101;142;139;931;1468;108;76;109;145;129;901;15
15;химии;329;21;15;28;19;28;218;326;27;15;31;20;19;214;3
16;географии;516;16;23;30;37;36;374;513;21;22;31;43;29;367;3
17;биологии;484;25;19;51;49;46;294;483;29;24;58;45;40;287;1
18;иностранных языков;1499;166;83;171;211;208;660;1482;164;89;186;207;201;635;17
19;из них:                         английского языка;1288;158;77;164;200;190;499;1272;156;82;180;195;181;478;16
20;немецкого языка;192;8;6;7;10;17;144;191;8;7;6;11;18;141;1
21;французского языка;18;;;;;1;17;18;;;;;2;16;
22;китайского языка;;;;;;;;;;;;;;;
23;физической культуры;1037;122;54;108;98;92;563;1026;132;56;120;97;83;538;11
24;труда (технологии);510;15;15;48;44;47;341;507;31;17;56;42;43;318;3
