;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);1315;832;882.2
2;в том числе:       руководящие работники – всего;27;21;24.2
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);752;569;468.9
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);605;456;372.5
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;20;20;17.6
6;русского языка и литературы;45;43;21.6
7;языка народов России и литературы;1;1;
8;истории, экономики, права, обществознания;34;28;18.4
9;информатики;25;13;15.5
10;физики;47;24;23.5
11;математики;46;39;31.9
12;химии;52;45;26.8
13;географии;27;21;14.3
14;биологии;30;26;19.9
15;иностранных языков;65;63;44.1
16;из них:                      английского языка;47;45;32.6
17;немецкого языка;18;18;12.6
18;французского языка;;;
19;китайского языка;;;
20;физической культуры;78;31;51.9
21;труда (технологии);22;10;13.8
22;музыки и пения;34;30;19.9
23;изобразительного искусства, черчения;6;4;2.8
24;основ безопасности и защиты Родины;11;2;6
25;основ духовно-нравственной культуры народов России;3;2;0.7
26;прочих предметов;59;54;49.6
27;учителя-логопеды;22;22;14.1
28;учителя-дефектологи;2;2;1.5
29;из них:                олигофренопедагог;;;
30;тифлопедагог;;;
31;сурдопедагог;;;
32;социальные педагоги;3;2;2.5
33;педагоги дополнительного образования;49;27;31.8
34;педагоги-психологи;23;19;13.2
35;воспитатели;16;15;13
36;мастера производственного обучения;1;1;1
37;тьюторы;7;5;6
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;2;2;1
39;другие;22;18;15
40;учебно-вспомогательный персонал;93;39;58.1
41;иной персонал;443;203;311.5
42;из них:             ассистент(помощник);;;
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;9;9;5.9
46;из них воспитатели;4;4;2.5
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;5;5;1
48;из них учителя;5;5;1
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;35;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);12;;
53;из них женщин;11;;
54;в том числе:          врачи всех специальностей;1;;
55;медицинские сестры;11;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;243;;
