;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
№ строки;Наименование показателей;Всего (сумма граф 4, 6, 8, 10, 12, 14, 16,  18, 20, 22);Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет всего;Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет из них женщины;Число полных лет  по состоянию на 1 января 20_ года 25–29 всего;Число полных лет  по состоянию на 1 января 20_ года 25–29 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 30–34 всего;Число полных лет  по состоянию на 1 января 20_ года 30–34 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 35–39 всего;Число полных лет  по состоянию на 1 января 20_ года 35–39 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 40–44 всего;Число полных лет  по состоянию на 1 января 20_ года 40–44 из них женщины;45–49 всего;45–49 из них женщины;50–54 всего;50–54 из них женщины;55–59 всего;55–59 из них женщины;60–64 всего;60–64 из них женщины;65 и более всего;65 и более из них женщины
1;Численность работников – всего (сумма строк 02, 06, 43,44);30137;1335;1206;1206;1033;1796;1593;3101;2779;3512;3138;4561;4117;5143;4517;4361;3584;3313;2361;1809;1188
2;в том числе:       руководящие работники – всего;2165;5;5;31;22;101;83;248;217;336;297;409;369;466;417;318;277;179;141;72;56
3;из них:             директор;777;;;2;;22;15;63;45;95;81;131;115;187;155;143;119;88;65;46;35
4;заместители директора;1342;5;5;27;21;79;68;178;166;235;210;273;250;266;250;170;154;84;70;25;20
5;руководитель филиала;37;;;1;;;;3;2;5;5;5;4;13;12;2;1;7;6;1;1
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);17259;1236;1123;1022;895;1244;1123;1876;1715;1892;1751;2469;2301;2897;2698;2281;2071;1542;1328;800;676
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);14911;1056;951;860;743;1019;904;1521;1379;1551;1423;2157;2004;2601;2421;2037;1851;1397;1208;712;600
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;4600;474;466;273;270;237;236;348;348;427;427;713;713;953;951;733;731;348;348;94;94
9;русского языка и литературы;1867;94;90;98;95;101;101;183;181;141;141;287;286;373;372;260;258;212;207;118;117
10;языка народов России и литературы;21;;;;;1;1;1;1;2;2;6;6;3;3;5;5;2;2;1;1
11;истории, экономики, права, обществознания;1017;79;61;92;65;85;67;118;100;120;105;110;94;160;140;127;114;77;64;49;34
12;информатики;349;15;14;18;12;46;36;61;49;53;43;58;53;46;43;27;23;16;10;9;8
13;физики;442;14;13;16;15;26;21;24;14;55;44;64;50;72;63;72;63;59;45;40;25
14;математики;1483;66;59;69;64;109;103;168;162;163;155;221;208;233;222;189;187;165;152;100;94
15;химии;329;14;13;23;22;18;17;22;21;27;27;51;46;50;46;43;41;43;42;38;36
16;географии;516;9;8;16;14;24;22;43;38;45;40;88;88;121;114;69;64;68;61;33;27
17;биологии;484;8;8;26;24;44;40;60;57;54;54;74;71;70;66;64;62;55;51;29;26
18;иностранных языков;1499;121;112;104;92;159;152;262;259;234;229;167;161;142;141;139;137;91;89;80;79
19;из них:                         английского языка;1288;117;108;101;90;149;142;243;241;216;211;145;139;109;108;95;94;61;60;52;51
20;немецкого языка;192;4;4;3;2;10;10;18;17;16;16;19;19;28;28;41;40;28;28;25;25
21;французского языка;18;;;;;;;1;1;1;1;3;3;5;5;3;3;2;1;3;3
22;китайского языка;;;;;;;;;;;;;;;;;;;;;
23;физической культуры;1037;107;63;79;38;77;35;123;64;106;59;122;68;151;81;127;39;90;21;55;16
24;труда (технологии);510;12;9;14;7;27;18;32;26;43;33;98;79;95;70;79;49;80;48;30;14
25;музыки и пения;245;16;14;9;8;18;17;18;16;24;22;29;28;45;43;38;38;31;30;17;17
26;изобразительного искусства, черчения;171;11;11;5;5;20;19;16;16;21;21;29;29;33;31;16;13;16;16;4;4
27;основ безопасности и защиты Родины;217;10;5;11;5;15;7;27;12;23;9;26;10;35;18;33;12;28;6;9;3
28;основ духовно-нравственной культуры народов России;14;1;;;;3;3;;;1;1;4;4;2;2;2;2;;;1;1
29;прочих предметов;110;5;5;7;7;9;9;15;15;12;11;10;10;17;15;14;13;16;16;5;4
30;учителя-логопеды;153;13;13;25;25;10;10;22;22;28;28;32;32;14;14;6;6;2;2;1;1
31;учителя-дефектологи;38;4;4;5;5;2;2;12;12;3;3;4;4;2;2;2;2;1;1;3;3
32;из них:                      олигофренопедагог;10;1;1;1;1;2;2;5;5;;;1;1;;;;;;;;
33;тифлопедагог;;;;;;;;;;;;;;;;;;;;;
34;сурдопедагог;9;;;1;1;;;;;1;1;1;1;1;1;2;2;1;1;2;2
35;социальные педагоги;246;13;13;10;10;19;19;41;40;37;37;44;43;31;29;21;21;18;17;12;12
36;педагоги дополнительного образования;57;3;2;8;3;4;3;5;2;8;4;1;1;7;4;7;5;4;2;10;5
37;педагоги-психологи;371;25;25;35;35;44;43;73;73;72;71;46;46;38;37;23;23;6;6;9;9
