;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих  учебные предметы - всего;9265;1227;3106;4932;9169;41;55
2;из них:        русский язык;292;;292;;292;;
3;литературное чтение;;;;;;;
4;родной язык и (или) государственный язык       республики Российской Федерации;9;;;9;9;;
5;литературное чтение на родном языке;;;;;;;
6;окружающий мир;;;;;;;
7;математика;2426;;504;1922;2426;;
8;изобразительное искусство;;;;;;;
9;музыка;;;;;;;
10;труд (технология);;;;;;;
11;физическая культура;;;;;;;
12;литература;772;;;772;772;;
13;родная литература;59;;52;7;59;;
14;иностранный язык;3084;1227;1591;266;3084;;
15;из них:              английский;2593;995;1356;242;2593;;
16;немецкий;158;56;88;14;158;;
17;французский;333;176;147;10;333;;
18;испанский;;;;;;;
19;другие европейские языки;;;;;;;
20;китайский;;;;;;;
21;другие восточные языки;;;;;;;
22;информатика;721;;266;455;721;;
23;история;676;;105;571;676;;
24;обществознание;2545;;200;2345;2467;33;45
25;география;117;;;117;117;;
26;физика;547;;135;412;529;8;10
27;химия;646;;49;597;581;19;46
28;биология;1929;;220;1709;1898;22;9
29;основы безопасности и защиты Родины;;;;;;;
