;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13
№ строки;Наименование показателей;Число ставок   по штату, единиц;Фактически занято, единиц всего;Фактически занято, единиц работниками списочного состава;Численность работников на начало предыдущего учебного года (без внешних совместителей и работавших по договорам гражданско-правового характера), человек;Принято работников, человек всего;Принято работников, человек из них выпускники: со средним про-фессиональным образованием по программам подготовки специалистов среднего звена;Принято работников, человек из них выпускники: с высшим образованием;Выбыло работников, человек всего;Выбыло работников, человек из них по собственному желанию;Численность работников на начало отчет- ного учебного года (без совместителей и работающих по договорам гражданско-правового характера), человек;Число вакантных должностей, единиц
1;Численность работников – всего (сумма строк 02, 06, 43,44);20191.1;19415.21;18847.95;12916;1415;389;669;1744;1541;12587;523
2;в том числе:       руководящие работники – всего;962.58;947.23;912.13;857;68;3;45;81;72;847;10
3;из них:             директор;338.15;331.15;324.65;331;18;;13;17;14;333;3
4;заместители директора;464.55;446.05;431.55;414;36;2;24;49;43;396;7
5;руководитель филиала;25.8;25.4;24.4;17;1;;1;;;17;
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);13448.34;12957.07;12582.74;7900;857;119;582;1045;928;7713;359
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);10386.99;10200.61;9924.79;6282;562;83;375;736;662;6102;172
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;2535.4;2511.62;2471.49;1822;136;49;69;182;166;1772;14
9;русского языка и литературы;1294.73;1279.33;1255.23;812;47;4;30;64;58;794;16
10;языка народов России и литературы;1.52;1.52;1.52;;;;;;;;
11;истории, экономики, права, обществознания;681.41;676.17;651.68;443;50;2;40;57;54;436;8
12;информатики;216.41;213.47;200.3;146;10;1;9;18;16;136;12
13;физики;294.61;287.03;274.02;187;19;;16;23;21;186;12
14;математики;1106.5;1088.49;1063.84;600;71;1;58;71;64;602;36
15;химии;199.49;193.65;183.93;126;7;;5;13;11;124;8
16;географии;293.53;289.89;277.91;197;19;1;13;18;15;195;3
17;биологии;329.23;324.69;314.69;242;19;1;10;30;25;230;6
18;иностранных языков;971.94;945.53;913.83;609;65;6;48;79;74;589;27
19;из них:                         английского языка;742.79;725.04;701.13;458;52;5;40;58;53;452;18
20;немецкого языка;160.87;155.51;147.05;104;7;;4;11;10;96;4
21;французского языка;60.57;55.35;54.35;44;3;;1;9;8;38;2
22;китайского языка;0.5;0.5;;;;;;;;;
23;физической культуры;631.64;626.16;608.11;444;43;8;27;63;56;421;4
24;труда (технологии);362.68;352.54;341.65;224;26;5;14;40;34;216;8
25;музыки и пения;192.65;187.13;176.42;128;9;2;5;21;19;113;3
26;изобразительного искусства, черчения;169.09;166.59;164.41;117;9;1;7;19;17;107;2
27;основ безопасности и защиты Родины;146.96;142.9;137.36;128;19;1;15;25;20;128;5
28;основ духовно-нравственной культуры народов России;64.47;63.64;61.62;;3;;2;;;4;
29;прочих предметов;894.73;850.26;826.78;57;10;1;7;13;12;49;8
30;учителя-логопеды;327.38;297.98;293.53;161;21;1;15;18;17;164;20
31;учителя-дефектологи;175.94;148.67;142.07;55;20;1;15;11;9;63;24
32;из них:                      олигофренопедагог;15.89;12.09;11.09;9;;;;1;;7;2
33;тифлопедагог;4.93;3.9;3.65;2;2;;2;1;1;3;
34;сурдопедагог;4.02;3.46;3.46;9;1;;1;3;3;7;1
35;социальные педагоги;135.7;121.79;119.63;103;13;;10;25;23;89;12
36;педагоги дополнительного образования;340.38;301.42;272.1;88;10;;7;18;14;78;22
37;педагоги-психологи;309.38;254.71;242.62;143;35;2;27;28;25;153;32
38;воспитатели;773.8;738.5;729;640;42;12;27;122;97;560;23
39;мастера производственного обучения;4.5;1.56;1;3;;;;2;2;1;
40;тьюторы;89.65;73.8;71.8;38;12;3;9;6;6;44;12
41;советники директора по воспитанию и взаимодействию                с детскими общественными объединениям;114.5;111;108.5;1;88;7;61;3;3;128;6
42;другие;790.12;707.03;677.7;386;54;10;36;76;70;331;36
43;учебно-вспомогательный персонал;924.27;900.42;879.37;655;73;26;19;91;78;618;19
44;иной персонал;4855.91;4610.49;4473.71;3504;417;241;23;527;463;3409;135
45;из них:             ассистент (помощник);9.25;9.25;6.25;5;1;;;2;2;3;1
46;сурдопереводчик;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;
48;Из общей численности педагогических работников (стр.06):             персонал, работающий в подразделениях (группах)             дошкольного образования;456.27;437.43;425.85;413;17;6;7;37;33;399;9
49;из них воспитатели;389.19;374.45;366.2;383;15;5;7;35;31;361;8
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;8.85;8.85;8.85;15;;;;;;15;
51;из них учителя;7.85;7.85;7.85;12;;;;;;12;
;;;;;;;;;;;;
