;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
№ строки;Наименование показателей;Всего (сумма граф 4, 6, 8, 10, 12, 14, 16,  18, 20, 22);Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет всего;Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет из них женщины;Число полных лет  по состоянию на 1 января 20_ года 25–29 всего;Число полных лет  по состоянию на 1 января 20_ года 25–29 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 30–34 всего;Число полных лет  по состоянию на 1 января 20_ года 30–34 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 35–39 всего;Число полных лет  по состоянию на 1 января 20_ года 35–39 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 40–44 всего;Число полных лет  по состоянию на 1 января 20_ года 40–44 из них женщины;45–49 всего;45–49 из них женщины;50–54 всего;50–54 из них женщины;55–59 всего;55–59 из них женщины;60–64 всего;60–64 из них женщины;65 и более всего;65 и более из них женщины
1;Численность работников – всего (сумма строк 02, 06, 43,44);12587;488;421;512;450;656;563;1049;941;1229;1103;1787;1597;2169;1906;1872;1604;1543;1193;1282;960
2;в том числе:       руководящие работники – всего;847;1;1;14;11;28;23;66;55;97;86;178;152;201;181;138;123;71;58;53;40
3;из них:             директор;333;;;2;1;7;6;16;9;24;20;64;48;103;93;67;57;25;22;25;16
4;заместители директора;396;;;9;7;16;12;35;31;53;46;90;81;80;71;53;49;38;29;22;17
5;руководитель филиала;17;;;;;2;2;;;1;1;2;1;3;2;4;4;4;3;1;1
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);7713;446;393;431;377;473;398;648;582;739;664;1099;1008;1382;1272;1116;1034;776;689;603;528
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);6102;339;294;320;273;319;255;415;354;510;441;900;814;1172;1073;970;896;675;597;482;420
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;1772;147;145;73;73;66;66;99;99;143;143;292;292;398;395;325;325;168;168;61;61
9;русского языка и литературы;794;30;29;41;40;44;43;43;41;59;57;107;103;146;143;142;140;101;99;81;80
10;языка народов России и литературы;;;;;;;;;;;;;;;;;;;;;
11;истории, экономики, права, обществознания;436;18;11;33;25;30;20;28;21;42;33;59;48;72;60;74;60;49;41;31;24
12;информатики;136;5;3;8;5;11;6;24;14;12;10;15;11;32;22;15;13;9;5;5;3
13;физики;186;6;;2;2;5;2;8;4;13;5;28;16;36;31;36;31;28;22;24;19
14;математики;602;27;26;21;17;25;22;37;35;42;37;83;79;90;85;93;90;107;103;77;72
15;химии;124;3;2;9;8;5;4;3;2;13;11;17;16;20;20;19;19;13;13;22;21
16;географии;195;5;4;3;2;5;4;9;9;11;9;41;40;62;52;26;23;19;17;14;13
17;биологии;230;7;6;12;12;11;9;9;9;17;17;37;37;57;57;40;38;18;18;22;21
18;иностранных языков;589;42;37;45;42;48;46;64;62;56;55;77;73;84;79;64;62;59;56;50;49
19;из них:                         английского языка;452;34;29;43;40;47;45;55;53;45;44;66;62;55;50;37;35;39;38;31;30
20;немецкого языка;96;4;4;1;1;;;6;6;7;7;6;6;24;24;18;18;14;13;16;15
21;французского языка;38;4;4;1;1;1;1;2;2;4;4;5;5;4;4;9;9;6;5;2;2
22;китайского языка;;;;;;;;;;;;;;;;;;;;;
23;физической культуры;421;27;16;44;23;39;14;46;27;51;26;54;36;65;38;44;27;27;9;24;15
24;труда (технологии);216;8;7;11;8;7;4;16;8;21;15;30;23;38;35;32;24;30;16;23;13
25;музыки и пения;113;6;5;6;6;8;7;8;7;8;8;14;13;27;25;15;15;13;12;8;8
26;изобразительного искусства, черчения;107;1;1;6;6;4;4;9;9;12;12;15;15;17;15;23;22;10;9;10;9
27;основ безопасности и защиты Родины;128;6;1;4;2;8;1;8;3;8;1;24;6;18;6;16;2;17;2;19;1
28;основ духовно-нравственной культуры народов России;4;;;;;;;;;;;1;1;;;1;;1;1;1;1
29;прочих предметов;49;1;1;2;2;3;3;4;4;2;2;6;5;10;10;5;5;6;6;10;10
30;учителя-логопеды;164;16;16;14;14;23;23;23;23;26;26;28;28;14;14;8;8;6;6;6;6
31;учителя-дефектологи;63;6;5;8;8;3;3;16;16;10;10;8;8;5;5;2;2;2;2;3;3
32;из них:                      олигофренопедагог;7;3;3;;;;;1;1;2;2;;;1;1;;;;;;
33;тифлопедагог;3;;;1;1;;;1;1;;;;;;;;;1;1;;
34;сурдопедагог;7;;;;;;;2;2;3;3;;;;;;;;;2;2
35;социальные педагоги;89;;;5;5;11;11;12;12;19;19;15;15;12;12;7;7;4;4;4;4
36;педагоги дополнительного образования;78;10;8;6;5;8;7;7;6;10;9;9;9;9;8;7;6;6;4;6;3
37;педагоги-психологи;153;14;12;20;19;20;19;35;35;26;26;13;13;12;12;8;8;4;4;1;1
38;воспитатели;560;21;21;28;28;45;45;65;65;77;77;69;69;86;86;61;61;45;45;63;63
39;мастера производственного обучения;1;;;;;;;;;;;;;;;1;1;;;;
40;тьюторы;44;8;8;3;3;3;2;3;3;4;4;3;3;5;5;4;4;5;5;6;6
41;советники директора по воспитанию и взаимодействию                с детскими общественными объединениям;128;15;14;14;13;15;14;24;24;19;18;13;13;18;16;9;9;1;1;;
42;другие;331;17;15;13;9;26;19;48;44;38;34;41;36;49;41;39;32;28;21;32;22
43;учебно-вспомогательный персонал;618;10;6;29;29;33;32;92;90;82;80;83;77;77;72;79;74;71;62;62;53
44;иной персонал;3409;31;21;38;33;122;110;243;214;311;273;427;360;509;381;539;373;625;384;564;339
45;из них:             ассистент (помощник);3;;;;;;;1;1;1;1;;;;;;;;;1;1
46;сурдопереводчик;;;;;;;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (стр.06):             персонал, работающий в подразделениях (группах)             дошкольного образования;399;10;10;20;20;42;42;64;64;65;65;52;52;53;53;44;44;28;28;21;21
49;из них воспитатели;361;9;9;19;19;39;39;57;57;58;58;49;49;47;47;39;39;26;26;18;18
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;15;;;1;1;;;;;3;3;2;1;3;2;4;4;;;2;2
51;из них учителя;12;;;;;;;;;2;2;2;1;3;2;4;4;;;1;1
;;;;;;;;;;;;;;;;;;;;;;
