;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;1968;153;202;234;247;210;224;223;220;231;15;9;;;;;;;;
2;В них обучающихся (всего), чел.;41008;3156;4066;4930;5097;4288;4892;4690;4525;5014;230;120;;;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;;;;;;;;;;;;;;;;;;;;
4;слабослышащие;47;2;4;9;2;6;7;11;1;3;;2;;;;33;;47;;
5;позднооглохшие;;;;;;;;;;;;;;;;;;;;
6;слепые;6;;;;3;;2;;;;1;;;;;6;1;6;;
7;слабовидящие;73;4;4;6;6;14;7;5;11;12;3;1;;;;30;;73;;
8;с тяжелыми нарушениями речи;179;16;29;24;34;19;14;13;12;16;;2;;;;14;;179;;
9;с нарушением опорно-двигательного аппарата;211;23;38;28;41;24;13;14;10;15;3;2;;;1;172;3;211;;
10;с задержкой психического развития;1600;91;100;195;204;133;184;228;219;246;;;;;;109;;1600;;
11;с умственной отсталостью (интеллектуальными          нарушениями);702;47;50;77;79;101;96;77;77;86;8;4;;;;323;;700;;2
12;с расстройствами аутистического спектра;215;46;44;17;26;20;23;12;16;7;3;1;;;;149;3;215;;
13;со сложными дефектами;;;;;;;;;;;;;;;;;;;;
14;с иными ограниченными возможностями          здоровья;2;;;;;1;;;1;;;;;;;2;;2;;
