;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
№ строки;Наименование показателей;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Всего (сумма граф 9–11);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них лица с ограни- ченными возможностя- ми здоровья;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них из графы 4 инвалиды;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них из графы 4 дети-инвалиды;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них инвалиды (кроме учтенных в графе 5);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них дети-инвалиды (кроме учтенных в графе 6);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Из графы 3 обучались очно;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Из графы 3 обучались очно-заочно;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Из графы 3 обучались заочно;Классы для обучающихся с ограниченными возможностями здоровья Всего;Классы для обучающихся с ограниченными возможностями здоровья из них лица с ограни- ченными возможностя- ми здоровья;Классы для обучающихся с ограниченными возможностями здоровья из них из графы 13 инвалиды;Классы для обучающихся с ограниченными возможностями здоровья из них из графы 13 дети-инвалиды;Классы для обучающихся с ограниченными возможностями здоровья из них инвалиды (кроме учтенных в графе 14);Классы для обучающихся с ограниченными возможностями здоровья из них дети-инвалиды (кроме учтенных в графе 15);Итого по всем классам (сумма граф 3, 12);Кроме того, численность экстернов;из них лица с ограни- ченными возможностя- ми здоровья;из них из графы 20 инвалиды;из них из графы 20 дети-инвалиды;из них инвалиды (кроме учтенных в графе 21);из них дети-инвалиды (кроме учтенных в графе 22)
1;Численность обучающихся (гр. 3–18) и экстернов (гр. 19–24), допущенных к ГИА по образовательным программам основного общего образования (сумма строк 02, 04, 05);13142;449;6;61;10;64;13129;12;1;94;94;;21;;;13236;42;26;;;;
2;в том числе:       получили аттестат об основном общем образовании;13073;423;6;54;10;64;13067;6;;91;91;;21;;;13164;41;26;;;;
3;из них (из строки 02) продолжили обучение по образовательной          программе среднего общего образования в данной организации;4646;18;2;9;3;20;4640;6;;14;13;;7;;;4660;;;;;;
4;получили на ГИА неудовлетворительные результаты;38;4;;2;;;37;;1;;;;;;;38;1;;;;;
5;не участвовали в ГИА;31;22;;5;;;25;6;;3;3;;;;;34;;;;;;
6;Из строки 02 получили аттестат об основном общем образовании:    с отличием;1008;14;1;1;;6;1008;;;1;1;;1;;;1009;1;;;;;
7;в IV квартале прошлого года;2;;;;;;2;;;;;;;;;2;;;;;;
8;после 1 сентября текущего года;405;2;;1;;2;404;1;;;;;;;;405;12;;;;;
9;Численность обучающихся (графы 3–18) и экстернов (графы 19–24), допущенных к ГИА по образовательным программам среднего общего образования (сумма строк 10–12);4325;43;;16;2;28;4281;42;2;16;16;;16;;;4341;82;;;;;
10;в том числе:       получили аттестат о среднем общем образовании;4294;42;;15;2;28;4256;36;2;15;15;;15;;;4309;73;;;;;
11;получили на ГИА неудовлетворительные результаты;19;1;;1;;;19;;;;;;;;;19;7;;;;;
12;не участвовали в ГИА;12;;;;;;6;6;;1;1;;1;;;13;2;;;;;
13;Из строки 10 получили аттестат о среднем общем образовании:    с отличием и медаль «За особые успехи в учении»;939;6;;;1;4;939;;;3;3;;3;;;942;4;;;;;
14;в IV квартале прошлого года;5;;;;;;5;;;;;;;;;5;;;;;;
15;после 1 сентября текущего года;49;;;;;;49;;;;;;;;;49;2;;;;;
16;Из общей численности участвовавших в ГИА (из суммы строк 10 и 11)    участвовали в едином государственном экзамене (ЕГЭ)*;4269;39;;12;2;26;4266;1;2;2;2;;2;;;4271;80;;;;;
17;участвовали в ЕГЭ по русскому языку (из строки 16);4269;38;;12;2;22;4266;1;2;2;2;;2;;;4271;75;;;;;
18;из них сдали ЕГЭ;4188;37;;10;2;20;4185;1;2;2;2;;2;;;4190;13;;;;;
19;участвовали в ЕГЭ по математике (из строки 16);4254;38;;12;2;22;4251;1;2;1;1;;1;;;4255;80;;;;;
20;из них сдали ЕГЭ;4233;37;;10;2;22;4230;1;2;1;1;;;;;4234;16;;;;;
21;участвовали в ГИА в иной (кроме ЕГЭ) форме*;44;4;;4;;2;9;35;;13;13;;13;;;57;;;;;;
22;Выпущено лиц, не получивших основного общего и среднего общего образования, со свидетельством об обучении;79;37;1;15;;;79;;;90;90;;28;;;169;10;;;;;
23;"Справочно. Код по ОКЕИ: человек – 792  Из численности обучавшихся во всех классах, получивших аттестат о сред-нем общем образовании с отличием и медаль «За особые успехи в учении» (из строки 13 графы 18):    получили аттестат красного цвета и медаль ""За особые успехи    в учении"" I степени";593;;;;;;;;;;;;;;;;;;;;;
24;"получили аттестат сине-голубого цвета и медаль ""За особые успехи    в учении"" II степени";349;;;;;;;;;;;;;;;;;;;;;
25;"Из численности обучавшихся экстернов, получивших аттестат о среднем общем образовании с отличием и медаль «За особые успехи в учении» (из строки 13 графы 19):    получили аттестат красного цвета и медаль ""За особые успехи    в учении"" I степени";3;;;;;;;;;;;;;;;;;;;;;
26;"получили аттестат сине-голубого цвета и медаль ""За особые успехи    в учении"" II степени";1;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;Сумма строк 16 и 21 равна сумме строк 10 и 11 по всем графам;Сумма строк 16 и 21 равна сумме строк 10 и 11 по всем графам;Сумма строк 16 и 21 равна сумме строк 10 и 11 по всем графам;Сумма строк 16 и 21 равна сумме строк 10 и 11 по всем графам;Сумма строк 16 и 21 равна сумме строк 10 и 11 по всем графам;;;;;;;;;;;;;;;;;
