;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);816;514;435.5
2;в том числе:       руководящие работники – всего;5;5;4.7
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);556;379;291.4
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);381;275;200.1
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;17;16;17.6
6;русского языка и литературы;20;20;11.2
7;языка народов России и литературы;1;1;0.9
8;истории, экономики, права, обществознания;23;14;10.2
9;информатики;25;13;9.9
10;физики;22;12;11.8
11;математики;29;23;16.4
12;химии;23;20;9.2
13;географии;13;12;6.1
14;биологии;24;23;10.3
15;иностранных языков;46;41;29.9
16;из них:                      английского языка;37;32;22.3
17;немецкого языка;9;9;7.6
18;французского языка;;;
19;китайского языка;;;
20;физической культуры;38;14;23.8
21;труда (технологии);14;2;8.7
22;музыки и пения;25;24;15.1
23;изобразительного искусства, черчения;10;10;3.6
24;основ безопасности и защиты Родины;11;2;5.3
25;основ духовно-нравственной культуры народов России;;;
26;прочих предметов;40;28;17.3
27;учителя-логопеды;8;8;4.9
28;учителя-дефектологи;2;2;1.5
29;из них:                олигофренопедагог;;;
30;тифлопедагог;;;
31;сурдопедагог;;;
32;социальные педагоги;2;1;1.2
33;педагоги дополнительного образования;119;60;54.2
34;педагоги-психологи;14;12;7.2
35;воспитатели;3;2;1.4
36;мастера производственного обучения;;;
37;тьюторы;3;3;1.5
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;8;8;3
39;другие;16;8;11
40;учебно-вспомогательный персонал;56;32;26.3
41;иной персонал;199;98;118.8
42;из них:             ассистент(помощник);4;4;2.5
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;;;
46;из них воспитатели;;;
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;13;13;4.6
48;из них учителя;13;13;4.6
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;15;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);29;;
53;из них женщин;24;;
54;в том числе:          врачи всех специальностей;11;;
55;медицинские сестры;18;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;216;;
