;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;653
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;625
3;Коллегиальные органы управления;609
4;в том числе:       общее собрание;544
5;педагогический совет;604
6;попечительский совет;20
7;управляющий совет;198
8;наблюдательный совет;244
9;другие;58
10;Советы обучающихся;445
11;Советы родителей;412
12;Профессиональные союзы работников;377
13;из строки 03 с участием общественности (родителей, работодателей);332
14;Организация реализует профориентационный минимум;605
15;в том числе:       на базовом уровне;151
16;на основном уровне;373
17;на продвинутом уровне;113
