;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование образовательных программ;Численность обучающихся по образовательным программам - всего, чел;Сетевая форма реализации образовательных программ численность обучающихся (из графы 3) по программам, реализуемым с использованием сетевой формы - всего, чел;Сетевая форма реализации образовательных программ число органи-заций, с которыми заключены дого-воры на реализа-цию образователь-ных программ с использованием сетевой формы, единиц , ед;Электронное обучение численность обучающихся (из графы 3) с применением электронного обучения , чел;Электронное обучение в том числе (из графы 6) с применением исключительно электронного обучения, чел;Дистанционные образовательные технологии численность обучающихся (из графы 3) с применением дистанционных образовательных технологий, чел;Дистанционные образовательные технологии в том числе (из графы 8) с применением исключительно дистанционных образовательных технологий, чел
1;Всего по образовательным программам (сумма строк 02, 12, 22, 32);338189;7943;;39796;77;8019;133
2;Образовательные программы начального общего образования;138933;1269;12;15613;15;2845;1
3;из них адаптированные;9306;52;6;1404;1;129;
4;в том числе:           для глухих;49;;;;;;
5;для слабослышащих и позднооглохших;118;;;1;;1;
6;для слепых;19;;;;;1;
7;для слабовидящих;176;;;7;;1;
8;с тяжелыми нарушениями речи;722;;;268;;9;
9;с нарушениями опорно-двигательного аппарата;220;;;21;;13;
10;с задержкой психического развития;7736;52;6;1094;1;97;
11;с расстройствами аутистического спектра;266;;;13;;7;
12;Образовательные программы основного общего образования;168642;5277;38;21193;62;4100;126
13;из них адаптированные;12727;155;15;1615;2;209;11
14;в том числе:           для глухих;8;;;;;;
15;для слабослышащих и позднооглохших;114;;;8;;;
16;для слепых;18;;;2;;;
17;для слабовидящих;128;;;11;;1;
18;с тяжелыми нарушениями речи;310;1;;161;;12;
19;с нарушениями опорно-двигательного аппарата;194;1;;25;;20;
20;с задержкой психического развития;11861;153;15;1399;2;176;11
21;с расстройствами аутистического спектра;94;;;9;;;
22;Образовательные программы среднего общего образования;20718;1294;44;2579;;1022;6
23;из них адаптированные;37;;;2;;;
24;в том числе:           для глухих;;;;;;;
25;для слабослышащих и позднооглохших;2;;;1;;;
26;для слепых;4;;;;;;
27;для слабовидящих;13;;;;;;
28;с тяжелыми нарушениями речи;;;;;;;
29;с нарушениями опорно-двигательного аппарата;6;;;1;;;
30;с задержкой психического развития;10;;;;;;
31;с расстройствами аутистического спектра;2;;;;;;
32;Программы образования обучающихся с умственной отсталостью (интеллектуальными нарушениями);9896;103;2;411;;52;
33;Справочно. Код по ОКЕИ: человек – 792  Из общей численности обучающихся (из графы 3 подраздела 1.3.) – лица, имеющие кохлеарные импланты и обучающиеся по программам:    начального общего образования (из строки 02);43;;;;;;
34;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;38;;;;;;
35;основного общего образования (из строки 12);43;;;;;;
36;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;29;;;;;;
37;среднего общего образования (из строки 22);1;;;;;;
38;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;;;;;;;
39;образования обучающихся с умственной отсталостью    (интеллектуальными нарушениями) (из строки 32);303;;;;;;
40;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;21;;;;;;
