;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателя;Всего (сумма граф 04 - 16);Программы начального общего образования 1-й класс;Программы начального общего образования 2-й класс;Программы начального общего образования 3-й класс;Программы начального общего образования 4-й класс;Программы основного общего образования 5-й класс;Программы основного общего образования 6-й класс;Программы основного общего образования 7-й класс;Программы основного общего образования 8-й класс;Программы основного общего образования 9-й класс;Программы среднего общего образования 10-й класс;Программы среднего общего образования 11-й класс (выпускной);Программы среднего общего образования 11-й класс;Программы среднего общего образования 12-й класс
1;Число классов без углубленного изучения предметов, ед.;12643;1370;1417;1444;1473;1289;1294;1232;1231;1223;329;303;20;18
2;В них обучающихся, чел.;282610;30746;32880;33557;33990;29104;29175;27036;26951;26662;6701;5345;240;223
3;Число классов с углубленным изучением отдельных предметов, ед.;837;;51;48;47;83;83;110;110;92;112;101;;
4;В них обучающихся, чел.;21815;;1521;1384;1336;2266;2280;2935;2966;2437;2591;2099;;
5;Число гимназических классов, ед.;455;3;4;5;4;77;71;73;73;73;36;36;;
6;В них обучающихся, чел.;12263;75;102;135;116;2173;2040;2024;1933;1853;918;894;;
7;Число лицейских классов, ед.;239;4;5;5;5;27;29;27;36;34;34;33;;
8;В них обучающихся, чел.;6343;111;131;135;143;773;807;735;944;875;847;842;;
9;Итого классов (без классов для обучающихся с ограниченными возможностями здоровья) (сумма строк 01, 03, 05, 07), ед.;14174;1377;1477;1502;1529;1476;1477;1442;1450;1422;511;473;20;18
10;"В них обучающихся (сумма строк 02, 04, 06, 08;  сумма строк 11 - 13), чел.";323031;30932;34634;35211;35585;34316;34302;32730;32794;31827;11057;9180;240;223
11;в том числе обучаются:          очно;320105;30784;34449;35042;35419;34215;34163;32573;32589;31447;10505;8919;;
12;очно-заочно;1695;;;1;;;39;52;122;282;521;231;231;216
13;заочно;1231;148;185;168;166;101;100;105;83;98;31;30;9;7
14;Из строки 10:          воспитанники (без приходящих учащихся);794;4;6;7;8;124;119;105;123;134;85;79;;
15;девочки;159988;15035;16952;17362;17443;17025;16921;16095;16213;15589;6071;5129;97;56
16;оставленные на повторное обучение;2230;424;224;137;288;123;140;169;167;507;50;;1;
17;лица с ограниченными возможностями здоровья;16881;1236;1502;1880;2150;1275;1659;2112;2328;2719;8;12;;
18;из них:                инвалиды;15;;;;1;;3;;3;8;;;;
19;дети-инвалиды;781;93;67;87;90;72;87;96;94;88;3;4;;
20;инвалиды (кроме учтенных в строке 18);3;;;;;;;;;;1;2;;
21;дети-инвалиды (кроме учтенных в строке 19);1835;127;166;169;147;199;221;202;241;189;93;81;;
22;дети-сироты и дети, оставшиеся без попечения родителей;1448;75;100;124;151;142;171;185;194;211;57;38;;
23;из них воспитанники (без приходящих учащихся);;;;;;;;;;;;;;
24;обучающиеся иностранные граждане;1444;198;206;216;173;150;136;128;123;83;17;7;4;3
25;из них девочки;616;85;95;93;66;71;46;50;58;39;9;4;;
26;обучающиеся лица без гражданства;46;10;3;4;7;6;6;5;3;2;;;;
