;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих  учебные предметы - всего;46827;3829;23391;19607;46165;562;100
2;из них:        русский язык;5685;;4075;1610;5569;110;6
3;литературное чтение;;;;;;;
4;родной язык и (или) государственный язык       республики Российской Федерации;;;;;;;
5;литературное чтение на родном языке;;;;;;;
6;окружающий мир;28;28;;;28;;
7;математика;15691;104;5409;10178;15523;125;43
8;изобразительное искусство;154;;154;;154;;
9;музыка;154;;154;;154;;
10;труд (технология);1115;;1115;;1115;;
11;физическая культура;1309;282;921;106;1309;;
12;литература;1939;;495;1444;1818;116;5
13;родная литература;;;;;;;
14;иностранный язык;14144;3415;8432;2297;14109;;35
15;из них:              английский;12435;3034;7248;2153;12416;;19
16;немецкий;110;;5;105;110;;
17;французский;1006;381;615;10;990;;16
18;испанский;;;;;;;
19;другие европейские языки;;;;;;;
20;китайский;330;;320;10;330;;
21;другие восточные языки;273;;244;29;273;;
22;информатика;6830;;2195;4635;6807;;23
23;история;2736;;563;2173;2613;116;7
24;обществознание;8436;;344;8092;8086;332;18
25;география;1082;;41;1041;1076;5;1
26;физика;5023;;1716;3307;5004;3;16
27;химия;3598;;967;2631;3591;;7
28;биология;4964;;1470;3494;4638;314;12
29;основы безопасности и защиты Родины;121;;104;17;121;;
