;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);18659;6851;8620;2387;202;259;4;336;705;17785;639;235
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;1152;412;576;73;48;36;;7;4;1149;1;2
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;49;25;7;5;8;2;;2;;48;;1
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;145;87;58;;;;;;;145;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;15221;6368;7572;652;147;214;3;265;41;15014;40;167
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;964;391;488;45;17;18;;5;5;935;7;22
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;456;309;137;10;;;;;;451;;5
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;787;;152;635;;;;;23;737;49;1
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;477;;5;472;;;;;14;472;3;2
10;в связи с переходом на семейное образование и самообразование;189;61;86;19;4;1;;18;1;137;;52
11;по болезни;5;;;3;;;;2;;5;;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;152;;64;86;;1;;1;113;54;97;1
13;выбыло по другим причинам;676;10;165;447;3;7;1;43;509;217;449;10
