;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;Всего, человек;Из них (из графы 3) имеют образование: Высшее;Из них (из графы 3) имеют образование: из них (графы 4) педагогическое;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень кандидата наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание профессора;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание доцента;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки специалистов среднего звена;Из них (из графы 3) имеют образование: из них  (графы 10) педагогическое;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки квалифициро-ванных рабочих служащих;Из графы 3 имеют квалификационные категории высшую;Из графы 3 имеют квалификационные категории первую;Из графы 3 имеют квалификационные категории педагог-методист;Из графы 3 имеют квалификационные категории педагог-наставник;Из графы 3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 43, 44);33192;18671;16798;;86;2;15;9481;5974;3228;5995;5855;13;10;29197;
2;в том числе:       руководящие работники – всего;1454;1367;1098;;10;;2;73;28;8;84;69;1;;1291;
3;из них:             директор;453;449;410;;6;;1;3;2;;29;32;;;379;
4;заместители директора;918;845;622;;4;;1;61;18;8;51;32;1;;846;
5;руководитель филиала;77;69;57;;;;;8;7;;3;3;;;62;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);22933;16451;15529;;76;2;13;6153;5779;74;5904;5771;12;10;21256;18039.5
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);17553;13511;12887;;70;2;12;3865;3676;35;5099;4689;10;7;16047;14168.1
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;5409;3257;3210;;1;;;2106;2081;8;1531;1540;;5;5390;4590.5
9;русского языка и литературы;2111;1988;1947;;9;;;109;104;4;799;535;;;2086;
10;языка народов России и литературы;30;26;26;;;;;4;4;;10;6;;;30;
