;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);2151;1525;1264.1
2;в том числе:       руководящие работники – всего;25;18;16.8
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);1474;1167;859.3
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);1111;868;688.2
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;123;121;96.8
6;русского языка и литературы;61;61;45.5
7;языка народов России и литературы;;;
8;истории, экономики, права, обществознания;70;48;38.8
9;информатики;59;46;27.7
10;физики;114;57;52.4
11;математики;82;72;58.5
12;химии;71;63;40
13;географии;38;34;24.3
14;биологии;51;51;29.4
15;иностранных языков;142;136;86.1
16;из них:                      английского языка;122;115;75.1
17;немецкого языка;11;10;9
18;французского языка;3;3;3.2
19;китайского языка;1;1;0.5
20;физической культуры;92;44;73.6
21;труда (технологии);58;28;32.7
22;музыки и пения;33;31;20.7
23;изобразительного искусства, черчения;12;11;5.6
24;основ безопасности и защиты Родины;34;2;17.9
25;основ духовно-нравственной культуры народов России;6;3;2.1
26;прочих предметов;65;60;39.3
27;учителя-логопеды;36;36;44.7
28;учителя-дефектологи;20;20;9.4
29;из них:                олигофренопедагог;4;4;2.5
30;тифлопедагог;;;
31;сурдопедагог;;;
32;социальные педагоги;13;13;6.8
33;педагоги дополнительного образования;109;68;48.3
34;педагоги-психологи;41;39;24.3
35;воспитатели;42;40;36.3
36;мастера производственного обучения;;;
37;тьюторы;2;2;1.3
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;3;3;2.5
39;другие;97;78;69.4
40;учебно-вспомогательный персонал;160;104;76.9
41;иной персонал;492;236;279.1
42;из них:             ассистент(помощник);2;2;0.7
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;48;47;40.1
46;из них воспитатели;25;25;25.8
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;9;8;3.2
48;из них учителя;9;8;3.2
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;111;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;3;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);9;;
53;из них женщин;8;;
54;в том числе:          врачи всех специальностей;1;;
55;медицинские сестры;8;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;674;;
