;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих  учебные предметы - всего;18711;1558;8614;8539;18589;122;
2;из них:        русский язык;1172;274;769;129;1172;;
3;литературное чтение;;;;;;;
4;родной язык и (или) государственный язык       республики Российской Федерации;;;;;;;
5;литературное чтение на родном языке;;;;;;;
6;окружающий мир;;;;;;;
7;математика;5210;162;1659;3389;5197;13;
8;изобразительное искусство;1;;;1;1;;
9;музыка;204;117;87;;204;;
10;труд (технология);;;;;;;
11;физическая культура;4;;;4;4;;
12;литература;866;;;866;797;69;
13;родная литература;5;;;5;5;;
14;иностранный язык;6476;1005;4242;1229;6475;1;
15;из них:              английский;5201;1005;3072;1124;5200;1;
16;немецкий;51;;51;;51;;
17;французский;;;;;;;
18;испанский;83;;83;;83;;
19;другие европейские языки;;;;;;;
20;китайский;929;;824;105;929;;
21;другие восточные языки;779;;779;;779;;
22;информатика;1407;;697;710;1407;;
23;история;1583;;29;1554;1481;102;
24;обществознание;4465;;461;4004;4418;47;
25;география;249;;23;226;242;7;
26;физика;2217;;754;1463;2217;;
27;химия;1584;;417;1167;1582;2;
28;биология;1964;;738;1226;1962;2;
29;основы безопасности и защиты Родины;;;;;;;
