;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего  (сумма граф 4 - 17);1-й класс;1-й класс первого года обучения;1-й класс второго года обучения;2-й класс;3-й класс;4-й класс;5-й класс;6-й класс;7-й класс;8-й класс;9-й класс;10-й класс;11-й класс;12-й класс
1;Всего обучающихся, окончивших классы (сумма строк 02, 11);2688;167;20;56;184;247;349;294;334;302;300;402;33;;
2;Численность обучающихся, окончивших данный класс – всего  (сумма строк 03–05) (сумма строк 06–10);2688;167;20;56;184;247;349;294;334;302;300;402;33;;
3;в том числе (из строки 02) обучались:       очно;2680;166;20;56;184;247;346;294;332;302;300;400;33;;
4;очно-заочно;8;1;;;;;3;;2;;;2;;;
5;заочно;;;;;;;;;;;;;;;
6;в том числе (из строки 02)  по программам с нормативным    сроком освоения:       9 лет;2049;144;;;135;187;266;196;261;218;267;375;;;
7;10 лет;262;;16;36;20;25;29;38;14;28;28;16;12;;
8;11 лет;8;5;;;;;3;;;;;;;;
9;12 лет;178;18;;;6;15;11;28;29;39;5;11;16;;
10;13 лет;191;;4;20;23;20;40;32;30;17;;;5;;
11;Численность экстернов, окончивших данный класс (сумма строк 12–16);;;;;;;;;;;;;;;
12;в том числе по программам с нормативным сроком освоения:       9 лет;;;;;;;;;;;;;;;
13;10 лет;;;;;;;;;;;;;;;
14;11 лет;;;;;;;;;;;;;;;
15;12 лет;;;;;;;;;;;;;;;
16;13 лет;;;;;;;;;;;;;;;
17;Из строки 11 – обучались:       в форме семейного образования;;;;;;;;;;;;;;;
18;по программам, не имеющим государственной аккредитации;;;;;;;;;;;;;;;
