;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;Всего, человек;Из них (из графы 3) имеют образование: Высшее;Из них (из графы 3) имеют образование: из них (графы 4) педагогическое;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень кандидата наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание профессора;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание доцента;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки специалистов среднего звена;Из них (из графы 3) имеют образование: из них  (графы 10) педагогическое;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки квалифициро-ванных рабочих служащих;Из графы 3 имеют квалификационные категории высшую;Из графы 3 имеют квалификационные категории первую;Из графы 3 имеют квалификационные категории педагог-методист;Из графы 3 имеют квалификационные категории педагог-наставник;Из графы 3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 43, 44);21310;11799;10331;;23;1;4;5967;3230;1679;2226;2448;47;29;18706;
2;в том числе:       руководящие работники – всего;1359;1231;962;;5;;;98;28;10;174;108;5;2;1229;
3;из них:             директор;476;457;417;;2;;;10;8;;79;43;1;;402;
4;заместители директора;840;731;503;;3;;;76;16;8;88;62;4;2;784;
5;руководитель филиала;16;13;10;;;;;2;;;1;2;;;13;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);13292;9914;9256;;18;1;4;3194;2964;27;2051;2339;41;27;12321;9670.2
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);11522;8937;8468;;17;1;3;2467;2331;7;1883;2136;41;26;10652;8525.2
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;3651;2069;1998;;1;;;1529;1487;1;446;794;15;21;3642;2644.6
9;русского языка и литературы;1446;1364;1343;;2;;;79;79;;303;261;6;1;1427;
10;языка народов России и литературы;;;;;;;;;;;;;;;;
11;истории, экономики, права, обществознания;768;730;703;;5;;;30;26;;163;134;2;;642;
12;информатики;283;262;241;;1;;;20;17;;54;38;1;;223;
13;физики;326;320;298;;;;1;6;5;;68;62;1;;266;
14;математики;1080;1021;962;;3;;;54;48;;196;178;4;1;1027;
15;химии;268;261;242;;1;;;5;4;;70;40;2;;258;
16;географии;367;353;333;;1;;;13;12;;81;65;1;1;337;
17;биологии;359;339;323;;1;;1;16;13;;87;52;1;;343;
18;иностранных языков;1288;1196;1118;;1;;;88;80;;162;219;4;1;1241;
19;из них:                         английского языка;1248;1150;1055;;1;;;87;79;;148;196;4;1;1197;
20;немецкого языка;2;2;2;;;;;;;;1;;;;2;
21;французского языка;1;1;;;;;;;;;;;;;1;
22;китайского языка;22;22;19;;;;;;;;4;4;;;22;
23;физической культуры;775;490;461;;;;;275;269;4;120;151;1;1;501;
24;труда (технологии);457;253;208;;;;;193;156;2;77;80;1;;352;
25;музыки и пения;158;79;66;;1;;;74;62;;23;21;1;;153;
26;изобразительного искусства, черчения;126;81;67;;;;;43;36;;12;21;1;;122;
27;основ безопасности и защиты Родины;86;62;53;;;;;19;17;;11;8;;;39;
28;основ духовно-нравственной культуры народов России;10;9;9;;;;;1;1;;1;2;;;10;
29;прочих предметов;74;48;43;;;1;1;22;19;;9;10;;;69;
30;учителя-логопеды;77;71;67;;;;;6;4;;16;5;;;77;45
31;учителя-дефектологи;48;44;40;;;;;4;3;;11;4;;;47;41
32;из них:                   олигофренопедагог;17;16;13;;;;;1;1;;3;1;;;16;9
33;тифлопедагог;2;2;2;;;;;;;;1;;;;2;2.5
34;сурдопедагог;8;8;8;;;;;;;;4;1;;;8;
35;социальные педагоги;158;110;83;;;;;46;38;;11;10;;1;152;81.7
36;педагоги дополнительного образования;200;119;81;;1;;1;68;49;4;26;12;;;156;110
37;педагоги-психологи;181;172;143;;;;;5;4;;10;11;;;174;103.5
38;воспитатели;662;192;165;;;;;443;414;10;84;134;;;656;369.6
39;мастера производственного обучения;3;1;;;;;;1;1;1;;1;;;;1.5
40;тьюторы;26;17;13;;;;;8;5;;;;;;25;13
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;79;62;49;;;;;13;11;2;5;5;;;71;39
42;другие;336;189;147;;;;;133;104;3;5;21;;;311;160.8
43;учебно-вспомогательный персонал;1031;261;69;;;;;442;154;188;1;;1;;946;
44;иной персонал;5628;393;44;;;;;2233;84;1454;;1;;;4210;
45;из них:             ассистент (помощник);5;1;1;;;;;3;;;;;;;5;
46;сурдопереводчик;;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;506;148;136;;;;;338;308;1;55;94;;;498;
49;из них воспитатели;431;110;99;;;;;308;281;1;44;80;;;429;
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;27;20;20;;;;;1;1;;5;7;;;26;
51;из них учителя;26;20;20;;;;;1;1;;5;7;;;25;
52;персонал, работающий в отдельных классах для             обучающихся с ограниченными возможностями здоровья;61;34;27;;;;;22;16;;9;4;;;41;
53;из них учителя - всего;51;24;24;;;;;16;14;;9;4;;;35;
54;из них учителя, осуществляющие деятельность по                    реализации программ начального общего образования;30;7;7;;;;;12;10;;1;3;;;14;
55;персонал, получающий надбавки за работу с лицами с             ограниченными возможностями здоровья, находящимися             на совместном обучении;253;196;175;;1;;;33;30;;41;56;;;164;
56;Из общей численности учителей-дефектологов (строка 31 графа 3) - учителя, имеющие специальное дефектологическое образование;23;15;;;;;;;;;;;;;;
57;Справочно. Код по ОКЕИ: человек – 792  Численность руководителей (из стр. 02, гр. 03), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;943;;;;;;;;;;;;;;;
58;из них директор;416;;;;;;;;;;;;;;;
59;Численность педагогических работников (из стр. 06, гр. 03), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;12160;;;;;;;;;;;;;;;
60;из них учителя;10556;;;;;;;;;;;;;;;
61;Кроме того (кроме стр. 01, гр. 03), численность медицинских работников (сумма строк 63, 64);57;;;;;;;;;;;;;;;
62;из них женщин;54;;;;;;;;;;;;;;;
63;в том числе:          врачи всех специальностей;9;;;;;;;;;;;;;;;
64;медицинские сестры;48;;;;;;;;;;;;;;;
65;Из строки 07 графы 3 численность учителей, использующих в учебном процессе персональные компьютеры;11146;;;;;;;;;;;;;;;
66;Из строки 06 графы 3 численность педагогических работников, осуществляющих классное руководство;8777;;;;;;;;;;;;;;;
67;в том числе:       осуществляющих классное руководство в одном классе;8002;;;;;;;;;;;;;;;
68;осуществляющих классное руководство в двух и более класса;775;;;;;;;;;;;;;;;
