;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего (сумма граф 4 - 9);Из графы 3 – имеют общий стаж работы, лет до 3;Из графы 3 – имеют общий стаж работы, лет от 3 до 5;Из графы 3 – имеют общий стаж работы, лет от 5 до 10;Из графы 3 – имеют общий стаж работы, лет от 10 до 15;Из графы 3 – имеют общий стаж работы, лет от 15 до 20;Из графы 3 – имеют общий стаж работы, лет 20 и более;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);Из графы 10 – имеют педагогический стаж работы, лет до 3;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;Не имеют стажа педа- гогической работы
1;Численность работников – всего (сумма строк 02, 06, 43, 44);21310;1675;1000;1985;2274;2269;12107;14432;1583;859;1500;1363;1235;7892;6878
2;в том числе:       руководящие работники – всего;1359;19;24;75;133;156;952;1055;33;36;92;103;95;696;304
3;из них:             директор;476;1;1;24;42;34;374;469;4;7;34;45;40;339;7
4;заместители директора;840;17;22;51;89;111;550;574;29;28;58;57;54;348;266
5;руководитель филиала;16;1;1;;;1;13;11;;1;;;1;9;5
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);13292;1298;639;1182;1220;1213;7740;13113;1494;799;1375;1217;1114;7114;179
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);11522;1121;550;976;1000;996;6879;11417;1232;683;1132;1017;941;6412;105
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;3651;370;215;328;276;308;2154;3615;385;255;364;278;287;2046;36
9;русского языка и литературы;1446;119;46;83;108;123;967;1441;127;59;108;118;117;912;5
10;языка народов России и литературы;;;;;;;;;;;;;;;
11;истории, экономики, права, обществознания;768;68;41;66;77;59;457;763;80;46;80;72;61;424;5
12;информатики;283;31;13;32;35;34;138;281;32;21;35;39;30;124;2
13;физики;326;24;17;22;18;27;218;323;29;16;28;24;23;203;3
14;математики;1080;100;37;78;107;83;675;1069;119;62;92;100;69;627;11
15;химии;268;19;12;23;13;12;189;266;24;14;21;17;12;178;2
16;географии;367;28;23;23;27;34;232;365;30;26;29;31;31;218;2
17;биологии;359;22;10;22;24;26;255;356;29;10;26;22;27;242;3
18;иностранных языков;1288;162;73;148;177;158;570;1272;174;88;170;167;139;534;16
19;из них:                         английского языка;1248;156;69;147;169;153;554;1234;169;84;169;159;134;519;14
20;немецкого языка;2;;1;;;;1;2;;1;;;;1;
21;французского языка;1;1;;;;;;1;1;;;;;;
22;китайского языка;22;3;2;;2;4;11;21;2;2;;3;4;10;1
23;физической культуры;775;110;38;80;71;58;418;762;117;45;83;74;64;379;13
24;труда (технологии);457;18;7;28;34;38;332;454;29;16;40;40;43;286;3
25;музыки и пения;158;15;8;18;9;12;96;156;16;10;23;10;12;85;2
26;изобразительного искусства, черчения;126;12;6;10;10;5;83;126;16;7;14;10;10;69;
27;основ безопасности и защиты Родины;86;11;3;6;6;13;47;84;11;5;10;7;12;39;2
28;основ духовно-нравственной культуры народов России;10;4;;1;;2;3;10;4;1;1;;1;3;
29;прочих предметов;74;8;1;8;8;4;45;74;10;2;8;8;3;43;
30;учителя-логопеды;77;6;2;5;8;12;44;77;9;3;4;11;10;40;
31;учителя-дефектологи;48;9;;7;4;7;21;48;10;2;11;3;5;17;
32;из них:                   олигофренопедагог;17;1;;2;1;3;10;17;1;1;4;1;3;7;
33;тифлопедагог;2;;;1;;;1;2;;;1;;;1;
34;сурдопедагог;8;2;;1;;1;4;8;2;;1;;1;4;
35;социальные педагоги;158;14;4;21;25;22;72;150;26;10;25;17;15;57;8
36;педагоги дополнительного образования;200;30;10;25;20;24;91;189;37;8;28;18;23;75;11
37;педагоги-психологи;181;27;22;35;28;21;48;174;46;25;34;17;16;36;7
38;воспитатели;662;47;28;63;86;89;349;652;71;41;80;83;74;303;10
39;мастера производственного обучения;3;;;;;;3;3;;;;;;3;
40;тьюторы;26;3;3;3;1;4;12;23;7;3;5;2;2;4;3
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;79;17;5;18;18;8;13;74;21;8;17;14;3;11;5
42;другие;336;24;15;29;30;30;208;306;35;16;39;35;25;156;30
43;учебно-вспомогательный персонал;1031;68;61;121;144;169;468;185;35;17;23;29;19;62;846
44;иной персонал;5628;290;276;607;777;731;2947;79;21;7;10;14;7;20;5549
45;из них:             ассистент (помощник);5;2;;2;;;1;1;;;;;1;;4
46;сурдопереводчик;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;506;35;21;56;68;66;260;499;47;28;68;64;63;229;7
49;из них воспитатели;431;30;20;47;60;61;213;426;42;26;57;58;58;185;5
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;27;;;1;4;2;20;27;;;2;4;2;19;
51;из них учителя;26;;;1;3;2;20;26;;;2;3;2;19;
;;;;;;;;;;;;;;;;
;;Данные графы 3 по строкам 01–51 равны данным графы 3 подраздела 3.1 по соответствующим строкам 01-51.;;;;;;;;;;;;;;
