;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13
№ строки;Наименование показателей;Число ставок   по штату, единиц;Фактически занято, единиц всего;Фактически занято, единиц работниками списочного состава;Численность работников на начало предыдущего учебного года (без внешних совместителей и работавших по договорам гражданско-правового характера), человек;Принято работников, человек всего;Принято работников, человек из них выпускники: со средним про-фессиональным образованием по программам подготовки специалистов среднего звена;Принято работников, человек из них выпускники: с высшим образованием;Выбыло работников, человек всего;Выбыло работников, человек из них по собственному желанию;Численность работников на начало отчет- ного учебного года (без совместителей и работающих по договорам гражданско-правового характера), человек;Число вакантных должностей, единиц
1;Численность работников – всего (сумма строк 02, 06, 43,44);31691.92;30213.37;29092.17;20901;3190;901;1174;2781;2610;21310;792
2;в том числе:       руководящие работники – всего;1679.2;1601.55;1551.8;1420;133;7;95;162;149;1359;47
3;из них:             директор;488.5;474;466;472;30;1;20;37;35;476;9
4;заместители директора;1124.45;1044.3;1007.55;879;98;6;72;116;106;840;36
5;руководитель филиала;17.25;16.75;16.75;16;1;;1;1;1;16;
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);21018.62;20138.4;19397.26;12889;1953;443;1010;1587;1502;13292;455
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);17799.72;17297.12;16743.24;11334;1498;291;818;1321;1255;11522;243
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;4622.46;4545.19;4438.2;3640;390;141;161;377;359;3651;37
9;русского языка и литературы;2341.67;2282.36;2221.25;1449;176;15;115;179;168;1446;39
10;языка народов России и литературы;4.51;3.01;3.01;;;;;;;;
11;истории, экономики, права, обществознания;1196.09;1169.68;1137.05;771;98;7;69;99;92;768;11
12;информатики;449.77;427.17;410.68;272;38;4;27;29;28;283;10
13;физики;562.93;533.09;509.96;338;38;2;24;46;46;326;25
14;математики;1955.5;1896.29;1842.38;1005;183;10;118;124;120;1080;38
15;химии;375.89;358.17;341.43;268;49;;34;40;39;268;5
16;географии;549.44;538.08;520.09;353;48;4;32;36;36;367;3
17;биологии;548.95;536.06;515.06;341;52;6;35;40;40;359;5
18;иностранных языков;1926.35;1867.92;1813.27;1271;160;11;90;147;140;1288;36
19;из них:                         английского языка;1873.67;1793.24;1729.7;1227;142;11;78;132;120;1248;32
20;немецкого языка;3.58;3.58;3.58;2;;;;;;2;
21;французского языка;2.75;2.75;1.75;1;;;;1;1;1;1
22;китайского языка;20.93;20.93;20.83;12;3;;2;;;22;1
23;физической культуры;987.16;968;936.59;777;102;37;48;99;92;775;6
24;труда (технологии);712.43;698.97;659.32;446;64;22;26;50;45;457;5
25;музыки и пения;279.91;264.48;245.75;141;30;13;5;22;20;158;6
26;изобразительного искусства, черчения;216.55;206.46;194.07;119;23;8;10;14;12;126;6
27;основ безопасности и защиты Родины;167.52;162.75;157.15;79;14;4;6;10;9;86;3
28;основ духовно-нравственной культуры народов России;72.2;67.81;64.12;3;5;1;3;1;1;10;1
29;прочих предметов;830.39;771.63;733.86;61;28;6;15;8;8;74;7
30;учителя-логопеды;131.56;108.61;100.76;55;26;2;16;6;5;77;24
31;учителя-дефектологи;84.08;62.73;51.9;38;14;2;10;2;2;48;7
32;из них:                      олигофренопедагог;23.68;19.98;14.15;14;4;;3;1;1;17;1
33;тифлопедагог;4;4;4;1;1;;1;;;2;
34;сурдопедагог;18.75;6;3;5;;;;;;8;
35;социальные педагоги;277.45;255.95;248.45;153;30;8;16;26;24;158;19
36;педагоги дополнительного образования;551.28;490.96;450.66;166;82;20;27;53;49;200;28
37;педагоги-психологи;328.76;271.21;250.14;172;38;3;27;38;37;181;50
38;воспитатели;844.01;753.25;693.69;613;134;86;27;76;70;662;36
39;мастера производственного обучения;5.38;4.88;4.88;4;;;;;;3;
40;тьюторы;92.75;65.56;57.8;14;17;4;11;5;3;26;26
41;советники директора по воспитанию и взаимодействию                с детскими общественными объединениям;171.25;161.25;155.5;17;49;8;26;3;3;79;4
42;другие;732.38;666.88;640.24;323;65;19;32;57;54;336;18
43;учебно-вспомогательный персонал;1489.59;1364.94;1333.14;915;222;96;23;133;126;1031;57
44;иной персонал;7504.51;7108.48;6809.97;5677;882;355;46;899;833;5628;233
45;из них:             ассистент (помощник);8.25;4;1;5;;;;;;5;1
46;сурдопереводчик;1;0.25;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;
48;Из общей численности педагогических работников (стр.06):             персонал, работающий в подразделениях (группах)             дошкольного образования;552.73;532.43;517.58;430;123;68;36;53;47;506;13
49;из них воспитатели;466.67;448.62;437.32;344;96;65;23;47;41;431;10
