;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13
№ строки;Наименование показателей;"Всего  (сумма граф 4–9; сумма граф 11-13)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования (1–4 классы);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования (5–9 классы);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования (10–11(12) классы);Классы для обучающихся с ограниченными возможностями здоровья, кроме классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями) программы начального общего образования;Классы для обучающихся с ограниченными возможностями здоровья, кроме классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями) программы основного общего образования;Классы для обучающихся с ограниченными возможностями здоровья, кроме классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями) программы среднего общего образования;Из граф 3 изучают 2-й, 3-й и более иностранные языки;Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, которым в соответствии с образовательной про-граммой должны преподаваться иностранные языки (сумма строк 02, 16);59942;20386;32828;5267;443;1014;4;;59707;220;15
2;В том числе обучающиеся, которым:       преподается иностранный язык;59839;20347;32772;5267;438;1011;4;;59607;219;13
3;из них преподается язык:             английский;54593;18873;29976;4813;280;647;4;743;54368;213;12
4;французский;937;86;696;68;43;44;;629;937;;
5;немецкий;7324;1349;5044;469;115;347;;1704;7238;80;6
6;итальянский;;;;;;;;;;;
7;испанский;;;;;;;;;;;
8;китайский;203;39;154;10;;;;164;203;;
9;арабский;;;;;;;;;;;
10;португальский;;;;;;;;;;;
11;турецкий;;;;;;;;;;;
12;корейский;;;;;;;;;;;
13;японский;;;;;;;;;;;
14;иврит;;;;;;;;;;;
15;другие;135;;113;22;;;;135;135;;
16;не преподается иностранный язык;103;39;56;;5;3;;;100;1;2
17;из строки 16 – из-за отсутствия учителя иностранного языка;46;;43;;;3;;;46;;
18;Из строки 02 – изучают:             2 иностранных языка;3375;;3233;115;;27;;;3298;72;5
19;3 и более иностранных языка;;;;;;;;;;;
