;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);17;83;381;795
2;в том числе       инженерные;;;;
3;медицинские;;2;;53
4;космические;;;;
5;педагогические;;58;;208
6;аграрные;5;;43;
7;предпринимательские;;;;
8;кадетские;2;2;68;51
9;IT-классы;;;;
10;другие;10;21;270;483
