;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13
№ строки;Наименование показателей;Число ставок   по штату, единиц;Фактически занято, единиц всего;Фактически занято, единиц работниками списочного состава;Численность работников на начало предыдущего учебного года (без внешних совместителей и работавших по договорам гражданско-правового характера), человек;Принято работников, человек всего;Принято работников, человек из них выпускники: со средним про-фессиональным образованием по программам подготовки специалистов среднего звена;Принято работников, человек из них выпускники: с высшим образованием;Выбыло работников, человек всего;Выбыло работников, человек из них по собственному желанию;Численность работников на начало отчет- ного учебного года (без совместителей и работающих по договорам гражданско-правового характера), человек;Число вакантных должностей, единиц
1;Численность работников – всего (сумма строк 02, 06, 43,44);13092.84;12131.33;11583.11;8591;959;235;418;1044;977;8506;405
2;в том числе:       руководящие работники – всего;629.02;602.5;597.15;548;28;;19;35;33;542;12
3;из них:             директор;146;141;138;141;5;;4;4;4;147;1
4;заместители директора;410.52;388.5;382.9;338;21;;12;26;24;338;10
5;руководитель филиала;41.5;38.75;38.75;32;1;;1;;;36;
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);9356.94;8637.29;8250.48;5618;658;113;378;696;645;5572;273
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);6801.37;6420.8;6170.99;4467;470;80;265;536;495;4392;119
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;1636.65;1560.81;1526.67;1340;119;32;52;144;128;1309;12
9;русского языка и литературы;876.27;830.12;801.19;560;42;4;23;58;57;541;16
10;языка народов России и литературы;4.51;3.84;3.84;;;;;;;;
11;истории, экономики, права, обществознания;420.58;400.19;381.01;283;37;3;21;40;38;268;5
12;информатики;129.79;117.88;112.02;83;14;3;9;16;16;83;8
13;физики;198.45;190.87;182.87;147;14;;11;12;10;150;7
14;математики;688.64;650.9;629.18;411;45;4;29;47;45;409;19
15;химии;125.41;118.9;110.47;107;10;;6;17;17;102;4
16;географии;203.88;192.19;185.21;142;13;2;8;14;14;141;3
17;биологии;198.79;185.6;176.13;135;11;1;8;8;8;135;3
18;иностранных языков;715.11;682.32;663.76;478;74;5;52;70;60;485;20
19;из них:                         английского языка;577.14;549.64;532.62;364;63;4;43;51;41;389;15
20;немецкого языка;120.89;109.74;106.52;91;6;;5;15;13;82;2
21;французского языка;12.33;11.66;11.66;13;1;;1;2;2;12;
22;китайского языка;;;;;;;;;;;
23;физической культуры;485.92;455.56;433.62;307;28;6;15;33;29;299;9
24;труда (технологии);310.77;288.25;272.36;190;22;7;10;24;21;188;6
25;музыки и пения;137.87;130.17;120.49;89;13;8;3;15;14;84;3
26;изобразительного искусства, черчения;66.94;58.41;54.45;43;5;;2;10;10;39;1
27;основ безопасности и защиты Родины;95.59;90.04;85.45;69;8;;6;9;9;72;3
28;основ духовно-нравственной культуры народов России;21.97;20.91;19.81;1;;;;;;1;
29;прочих предметов;484.23;443.84;412.46;82;15;5;10;19;19;86;
30;учителя-логопеды;237.49;193.8;186.49;120;16;2;13;13;13;126;24
31;учителя-дефектологи;157.05;122.43;115.2;55;9;2;7;4;4;57;18
32;из них:                      олигофренопедагог;76.25;54.08;42.65;31;2;;2;1;1;32;4
33;тифлопедагог;6;5;5;4;;;;;;3;1
