;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
№ строки;Наименование показателей;Всего (сумма граф 4, 6, 8, 10, 12, 14, 16,  18, 20, 22);Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет всего;Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет из них женщины;Число полных лет  по состоянию на 1 января 20_ года 25–29 всего;Число полных лет  по состоянию на 1 января 20_ года 25–29 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 30–34 всего;Число полных лет  по состоянию на 1 января 20_ года 30–34 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 35–39 всего;Число полных лет  по состоянию на 1 января 20_ года 35–39 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 40–44 всего;Число полных лет  по состоянию на 1 января 20_ года 40–44 из них женщины;45–49 всего;45–49 из них женщины;50–54 всего;50–54 из них женщины;55–59 всего;55–59 из них женщины;60–64 всего;60–64 из них женщины;65 и более всего;65 и более из них женщины
1;Численность работников – всего (сумма строк 02, 06, 43,44);8506;383;330;341;299;484;430;737;663;786;698;949;859;1317;1173;1262;1124;1194;981;1053;849
2;в том числе:       руководящие работники – всего;542;;;3;3;18;13;44;39;58;48;86;76;115;102;111;104;63;51;44;37
3;из них:             директор;147;;;;;6;2;9;7;10;7;15;11;36;34;28;25;20;13;23;19
4;заместители директора;338;;;3;3;11;10;34;31;38;33;61;56;71;62;75;72;28;24;17;14
5;руководитель филиала;36;;;;;1;1;1;1;6;4;3;3;5;5;6;5;13;12;1;1
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);5572;361;315;287;251;358;321;477;440;486;449;584;545;863;811;798;747;748;672;610;523
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);4392;275;236;216;184;255;225;348;315;357;325;456;419;698;654;652;610;621;555;514;444
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;1309;83;82;64;64;56;56;87;87;110;110;148;148;285;285;233;232;166;166;77;76
9;русского языка и литературы;541;16;16;17;17;28;27;42;39;42;42;64;64;89;89;76;76;80;80;87;86
10;языка народов России и литературы;;;;;;;;;;;;;;;;;;;;;
11;истории, экономики, права, обществознания;268;27;15;21;13;35;29;16;14;18;15;25;23;27;24;45;38;31;24;23;17
12;информатики;83;8;4;10;6;8;7;8;5;9;8;5;3;13;10;7;4;10;3;5;2
13;физики;150;6;6;8;7;5;3;10;8;9;6;11;8;21;16;15;12;24;14;41;22
14;математики;409;27;23;18;17;26;23;22;20;32;27;34;33;43;43;53;52;76;70;78;78
15;химии;102;4;3;3;3;3;2;5;5;5;3;12;12;8;8;18;18;21;21;23;22
16;географии;141;7;7;1;1;11;8;8;8;7;4;8;8;28;26;33;31;23;20;15;13
17;биологии;135;4;4;6;6;11;11;6;6;10;8;13;12;16;16;24;24;26;26;19;19
18;иностранных языков;485;35;31;41;32;35;32;76;73;48;47;39;39;44;42;46;43;57;56;64;62
19;из них:                         английского языка;389;34;30;36;29;35;32;64;62;41;40;33;33;33;31;36;34;38;37;39;37
20;немецкого языка;82;1;1;3;2;;;9;8;7;7;6;6;7;7;10;9;17;17;22;22
21;французского языка;12;;;1;1;;;2;2;;;;;4;4;;;2;2;3;3
22;китайского языка;;;;;;;;;;;;;;;;;;;;;
23;физической культуры;299;31;22;14;10;16;8;29;18;28;23;33;19;41;33;44;33;38;27;25;13
24;труда (технологии);188;10;8;3;3;6;5;12;9;19;14;29;22;28;15;27;20;31;22;23;12
25;музыки и пения;84;9;8;2;1;3;3;7;7;6;6;10;9;15;15;11;10;11;11;10;10
26;изобразительного искусства, черчения;39;2;2;;;4;4;1;1;1;1;5;5;13;13;4;4;3;3;6;4
27;основ безопасности и защиты Родины;72;3;2;4;;1;;9;5;4;2;9;3;11;5;5;2;15;3;11;1
28;основ духовно-нравственной культуры народов России;1;;;;;;;1;1;;;;;;;;;;;;
29;прочих предметов;86;3;3;4;4;7;7;9;9;9;9;11;11;16;14;11;11;9;9;7;7
30;учителя-логопеды;126;14;14;12;12;24;24;14;14;14;14;19;19;11;11;8;8;5;5;5;3
31;учителя-дефектологи;57;6;6;5;5;8;8;10;10;12;12;7;7;3;3;3;3;3;3;;
32;из них:                      олигофренопедагог;32;2;2;5;5;5;5;5;5;7;7;4;4;2;2;1;1;1;1;;
