;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих  учебные предметы - всего;3586;;465;3121;3580;6;
2;из них:        русский язык;184;;155;29;184;;
3;литературное чтение;;;;;;;
4;родной язык и (или) государственный язык       республики Российской Федерации;4;;;4;4;;
5;литературное чтение на родном языке;;;;;;;
6;окружающий мир;;;;;;;
7;математика;1369;;136;1233;1369;;
8;изобразительное искусство;;;;;;;
9;музыка;;;;;;;
10;труд (технология);;;;;;;
11;физическая культура;50;;50;;50;;
12;литература;335;;;335;335;;
13;родная литература;4;;;4;4;;
14;иностранный язык;179;;109;70;179;;
15;из них:              английский;179;;109;70;179;;
16;немецкий;;;;;;;
17;французский;;;;;;;
18;испанский;;;;;;;
19;другие европейские языки;;;;;;;
20;китайский;;;;;;;
21;другие восточные языки;;;;;;;
22;информатика;290;;;290;290;;
23;история;509;;;509;509;;
24;обществознание;1684;;;1684;1681;3;
25;география;297;;;297;297;;
26;физика;130;;;130;130;;
27;химия;399;;15;384;399;;
28;биология;820;;;820;817;3;
29;основы безопасности и защиты Родины;;;;;;;
