;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;932;98;110;117;123;82;104;103;103;89;3;;;;;;;;;
2;В них обучающихся (всего), чел.;21950;2367;2617;2830;3012;1973;2352;2397;2319;1992;91;;;;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;;;;;;;;;;;;;;;;;;;;
4;слабослышащие;9;1;2;;;3;1;;2;;;;;;;9;;9;;
5;позднооглохшие;;;;;;;;;;;;;;;;;;;;
6;слепые;;;;;;;;;;;;;;;;;;;;
7;слабовидящие;10;3;1;1;2;2;;1;;;;;;;;6;;10;;
8;с тяжелыми нарушениями речи;192;52;48;23;56;5;2;3;3;;;;;;;4;;192;;
9;с нарушением опорно-двигательного аппарата;35;6;9;5;8;;3;2;1;1;;;;;;32;1;35;;
10;с задержкой психического развития;685;61;66;96;100;47;84;75;73;83;;;;;;52;;679;6;
11;с умственной отсталостью (интеллектуальными          нарушениями);528;25;40;52;58;64;68;87;75;56;3;;;;6;212;;527;1;
12;с расстройствами аутистического спектра;47;24;1;7;8;2;2;2;;1;;;;;;33;1;47;;
13;со сложными дефектами;;;;;;;;;;;;;;;;;;;;
14;с иными ограниченными возможностями          здоровья;;;;;;;;;;;;;;;;;;;;
